F1_train,F1_val,MCC_train,MCC_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.6875324845314026,,0.06983334571123123,,0.5583333373069763,,0.9809523820877075,0,42,,0.6748784780502319
0.2599166929721832,,-0.030404075980186462,,0.2892489731311798,,0.3038150668144226,,0,42,0.6857208013534546,
,0.7382702827453613,,0.344108909368515,,0.6631516218185425,,0.8718993067741394,1,85,,0.5732321739196777
0.5754937529563904,,0.1817403882741928,,0.5961912274360657,,0.6471713781356812,,1,85,0.6550771594047546,
,0.6598936319351196,,0.3981253206729889,,0.8158570528030396,,0.5779951810836792,2,128,,0.5865901112556458
0.7647104859352112,,0.472737580537796,,0.7520811557769775,,0.8183252811431885,,2,128,0.5377530455589294,
,0.7750832438468933,,0.44922393560409546,,0.7396295070648193,,0.8360269665718079,3,171,,0.6411382555961609
0.8820229172706604,,0.7421673536300659,,0.8679206371307373,,0.9134989976882935,,3,171,0.354699045419693,
,0.7608454823493958,,0.4098398685455322,,0.7705541253089905,,0.769454300403595,4,214,,0.6642978191375732
0.9479701519012451,,0.8855443000793457,,0.9409192204475403,,0.9613383412361145,,4,214,0.18026182055473328,
,0.7334780693054199,,0.3513449430465698,,0.6960886120796204,,0.8003756999969482,5,257,,0.8838213086128235
0.9745453596115112,,0.9522593021392822,,0.9731637239456177,,0.9795509576797485,,5,257,0.0826743096113205,
,0.7382702827453613,,0.344108909368515,,0.6631516218185425,,0.8718993067741394,6,258,,0.5732321739196777
