evaluation,metric,average,YES,NO
EVALUATION_1,ICM,0.12457687444474425,,
EVALUATION_1,ICM-Norm,0.5630432525460067,,
EVALUATION_1,F1,0.7109194410902191,0.7379679144385027,0.6838709677419355
EVALUATION_1,Pr,0.7104080161971107,0.7624309392265194,0.6583850931677019
EVALUATION_1,Re,0.7132176513544528,0.7150259067357513,0.7114093959731543
EVALUATION_2,ICM,0.03638404466064077,,
EVALUATION_2,ICM-Norm,0.5184124744372469,,
EVALUATION_2,F1,0.669896424991647,0.7625570776255707,0.5772357723577235
EVALUATION_2,Pr,0.7067957079739111,0.6816326530612244,0.7319587628865979
EVALUATION_2,Re,0.6708975206036791,0.8652849740932642,0.47651006711409394
EVALUATION_3,ICM,0.023903907404012117,,
EVALUATION_3,ICM-Norm,0.5120967882524289,,
EVALUATION_3,F1,0.6753692095879048,0.6801152737752162,0.6706231454005934
EVALUATION_3,Pr,0.6836487980105002,0.7662337662337663,0.601063829787234
EVALUATION_3,Re,0.6848941127377681,0.6113989637305699,0.7583892617449665
EVALUATION_4,ICM,0.15941239980536637,,
EVALUATION_4,ICM-Norm,0.5807232135629341,,
EVALUATION_4,F1,0.7226551226551226,0.7584415584415584,0.6868686868686867
EVALUATION_4,Pr,0.7224902125279642,0.7604166666666666,0.6845637583892618
EVALUATION_4,Re,0.7228329365635064,0.7564766839378239,0.6891891891891891
EVALUATION_5,ICM,0.22233799838281026,,
EVALUATION_5,ICM-Norm,0.612587463387567,,
EVALUATION_5,F1,0.7437255313199106,0.7760416666666667,0.7114093959731544
EVALUATION_5,Pr,0.7433856893542757,0.7801047120418848,0.7066666666666667
EVALUATION_5,Re,0.7441184708024087,0.772020725388601,0.7162162162162162
average,F1,0.7045131459289609,0.743024698189503,0.6660015936684187
average,ICM,0.11332304493951476,,
average,ICM-Norm,0.5573726384372367,,
average,Pr,0.7133456848127524,0.7501637474460123,0.6765276221794925
average,Re,0.7071921384123631,0.7440414507772021,0.670342826047524
