evaluation,metric,average
EVALUATION_1,ICM-Soft,-0.1386497313254901
EVALUATION_1,ICM-Soft-Norm,0.4771977036738267
EVALUATION_1,CE,0.9284775985766685
EVALUATION_2,ICM-Soft,-0.29781342134165606
EVALUATION_2,ICM-Soft-Norm,0.45107059174769576
EVALUATION_2,CE,0.9149823686603878
EVALUATION_3,ICM-Soft,-0.30012849038495404
EVALUATION_3,ICM-Soft-Norm,0.4506198726920618
EVALUATION_3,CE,0.9347788171547362
EVALUATION_4,ICM-Soft,0.025526144058379677
EVALUATION_4,ICM-Soft-Norm,0.5041865201953619
EVALUATION_4,CE,1.0614186217686623
EVALUATION_5,ICM-Soft,-0.2341706754590112
EVALUATION_5,ICM-Soft-Norm,0.4616929731240417
EVALUATION_5,CE,0.9082593834322699
average,CE,0.9495833579185449
average,ICM-Soft,-0.18904723489054637
average,ICM-Soft-Norm,0.4689535322865976
