F1_train,F1_val,MCC_train,MCC_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.0720779225230217,,-0.01848643645644188,,0.3333333432674408,,0.04125266522169113,0,42,,0.6502134799957275
0.4821799397468567,,0.04324601590633392,,0.5076785087585449,,0.5401908755302429,,0,42,0.6727743744850159,
,0.741019070148468,,0.36631351709365845,,0.7609462738037109,,0.7440325617790222,1,85,,0.5686078071594238
0.7015728950500488,,0.3088900148868561,,0.7127143144607544,,0.7473728656768799,,1,85,0.5964327454566956,
,0.7444249987602234,,0.35451585054397583,,0.7633202075958252,,0.7486020922660828,2,128,,0.5705074667930603
0.8429127335548401,,0.6215344667434692,,0.8679799437522888,,0.8391516208648682,,2,128,0.4414626955986023,
,0.7216523289680481,,0.36398845911026,,0.7847038507461548,,0.6880423426628113,3,171,,0.7145408987998962
0.9369302988052368,,0.8364334106445312,,0.9355576634407043,,0.9450369477272034,,3,171,0.22538934648036957,
,0.7552290558815002,,0.39423248171806335,,0.7829502820968628,,0.7478765249252319,4,214,,1.0274008512496948
0.9825514554977417,,0.9526155591011047,,0.9813665747642517,,0.9856826066970825,,4,214,0.07630468159914017,
,0.7818170189857483,,0.4015794098377228,,0.7512248158454895,,0.8326138257980347,5,257,,1.0175002813339233
0.9955041408538818,,0.9871768951416016,,0.9948466420173645,,0.9965775609016418,,5,257,0.02685513161122799,
,0.741019070148468,,0.36631351709365845,,0.7609462738037109,,0.7440325617790222,6,258,,0.5686078071594238
