evaluation,metric,average,YES,NO
EVALUATION_1,ICM,0.04062195617714403,,
EVALUATION_1,ICM-Norm,0.5213108644555978,,
EVALUATION_1,F1,0.690869317933237,0.743142144638404,0.63859649122807
EVALUATION_1,Pr,0.6903465516060543,0.8010752688172043,0.5796178343949044
EVALUATION_1,Re,0.7019803779069768,0.6930232558139535,0.7109375
EVALUATION_2,ICM,-0.08616941492288022,,
EVALUATION_2,ICM-Norm,0.45479428135780214,,
EVALUATION_2,F1,0.6492100437297221,0.7156862745098039,0.5827338129496403
EVALUATION_2,Pr,0.648238341968912,0.7564766839378239,0.54
EVALUATION_2,Re,0.6559411337209302,0.6790697674418604,0.6328125
EVALUATION_3,ICM,0.019412456742321615,,
EVALUATION_3,ICM-Norm,0.5101988400323471,,
EVALUATION_3,F1,0.6835631349782294,0.759433962264151,0.6076923076923078
EVALUATION_3,Pr,0.6821599453178401,0.7703349282296651,0.5939849624060151
EVALUATION_3,Re,0.6854422266984068,0.7488372093023256,0.6220472440944882
EVALUATION_4,ICM,-0.07531023435757593,,
EVALUATION_4,ICM-Norm,0.4605248262638522,,
EVALUATION_4,F1,0.6526937647360102,0.7146401985111662,0.5907473309608541
EVALUATION_4,Pr,0.6521942110177403,0.7619047619047619,0.5424836601307189
EVALUATION_4,Re,0.6606673481308412,0.6728971962616822,0.6484375
EVALUATION_5,ICM,0.06298171036549713,,
EVALUATION_5,ICM-Norm,0.5330129627146438,,
EVALUATION_5,F1,0.6982433624769391,0.7591240875912408,0.6373626373626373
EVALUATION_5,Pr,0.6959390862944163,0.7918781725888325,0.6
EVALUATION_5,Re,0.7043297313084111,0.7289719626168224,0.6796875
average,F1,0.6749159247708276,0.7384053335029532,0.6114265160387019
average,ICM,-0.0076927051990986735,,
average,ICM-Norm,0.4959683549648486,,
average,Pr,0.6737756272409926,0.7763339630956575,0.5712172913863277
average,Re,0.6816721635531132,0.7045598782873288,0.6587844488188976
