evaluation,metric,average
EVALUATION_1,ICM-Soft,-0.4002753310536954
EVALUATION_1,ICM-Soft-Norm,0.435400730885895
EVALUATION_1,CE,0.9074603023607923
EVALUATION_2,ICM-Soft,-0.6017880686777244
EVALUATION_2,ICM-Soft-Norm,0.40313488664079106
EVALUATION_2,CE,0.9971697474658923
EVALUATION_3,ICM-Soft,-0.5280976127474448
EVALUATION_3,ICM-Soft-Norm,0.41465046799472394
EVALUATION_3,CE,0.9152071539162173
EVALUATION_4,ICM-Soft,-0.4541708908379449
EVALUATION_4,ICM-Soft-Norm,0.42667683344305296
EVALUATION_4,CE,0.970513637154625
EVALUATION_5,ICM-Soft,-0.2779333066193254
EVALUATION_5,ICM-Soft-Norm,0.45509167556614527
EVALUATION_5,CE,0.9931338405538561
average,CE,0.9566969362902766
average,ICM-Soft,-0.45245304198722697
average,ICM-Soft-Norm,0.4269909189061217
