evaluation,metric,average,YES,NO
EVALUATION_1,ICM,0.2285243021592125,,
EVALUATION_1,ICM-Norm,0.6156467872399007,,
EVALUATION_1,F1,0.7453462397617274,0.7848101265822784,0.7058823529411765
EVALUATION_1,Pr,0.7479490806223479,0.7673267326732673,0.7285714285714285
EVALUATION_1,Re,0.7438362833397085,0.8031088082901554,0.6845637583892618
EVALUATION_2,ICM,0.20818614825709414,,
EVALUATION_2,ICM-Norm,0.6053544807545626,,
EVALUATION_2,F1,0.7361868541905855,0.7932692307692307,0.6791044776119403
EVALUATION_2,Pr,0.7523080981271433,0.7399103139013453,0.7647058823529411
EVALUATION_2,Re,0.7328302674131516,0.8549222797927462,0.610738255033557
EVALUATION_3,ICM,0.1445149313153188,,
EVALUATION_3,ICM-Norm,0.5731330863146793,,
EVALUATION_3,F1,0.7174040282320537,0.7405405405405405,0.6942675159235668
EVALUATION_3,Pr,0.7173086800205444,0.7740112994350282,0.6606060606060606
EVALUATION_3,Re,0.720694091873283,0.7098445595854922,0.7315436241610739
EVALUATION_4,ICM,0.0555670862002327,,
EVALUATION_4,ICM-Norm,0.5281380480557846,,
EVALUATION_4,F1,0.6747074435429792,0.7720090293453725,0.5774058577405858
EVALUATION_4,Pr,0.7211208791208792,0.684,0.7582417582417582
EVALUATION_4,Re,0.6761132894552584,0.8860103626943006,0.46621621621621623
EVALUATION_5,ICM,0.138377135876923,,
EVALUATION_5,ICM-Norm,0.5700713815566307,,
EVALUATION_5,F1,0.7147477082021785,0.7298050139275767,0.6996904024767803
EVALUATION_5,Pr,0.7174354561101549,0.7891566265060241,0.6457142857142857
EVALUATION_5,Re,0.7211349950987256,0.6787564766839378,0.7635135135135135
average,F1,0.7176784547859049,0.7640867882329998,0.6712701213388099
average,ICM,0.15503392076175623,,
average,ICM-Norm,0.5784687567843115,,
average,Pr,0.7312244388002139,0.750880994503133,0.7115678830972948
average,Re,0.7189217854360255,0.7865284974093264,0.6513150734627244
