evaluation,metric,average
EVALUATION_1,ICM-Soft,-0.0254948239711121
EVALUATION_1,ICM-Soft-Norm,0.4958071283267893
EVALUATION_1,CE,0.9049285430074018
EVALUATION_2,ICM-Soft,0.007398883071059877
EVALUATION_2,ICM-Soft-Norm,0.5012156032752454
EVALUATION_2,CE,0.9649460905308889
EVALUATION_3,ICM-Soft,0.021478172477535896
EVALUATION_3,ICM-Soft-Norm,0.5035338027720135
EVALUATION_3,CE,0.9802922225189056
EVALUATION_4,ICM-Soft,-0.10547978028203717
EVALUATION_4,ICM-Soft-Norm,0.4827003550029674
EVALUATION_4,CE,0.9325689691643463
EVALUATION_5,ICM-Soft,-0.13067991257640052
EVALUATION_5,ICM-Soft-Norm,0.4786226054419513
EVALUATION_5,CE,0.8947372312226614
average,CE,0.9354946112888408
average,ICM-Soft,-0.0465554922561908
average,ICM-Soft-Norm,0.49237589896379336
