evaluation,metric,average,YES,NO
EVALUATION_1,ICM,0.04368452206968709,,
EVALUATION_1,ICM-Norm,0.5229175307209473,,
EVALUATION_1,F1,0.6919663895434134,0.7566265060240963,0.6273062730627306
EVALUATION_1,Pr,0.6897027972027971,0.785,0.5944055944055944
EVALUATION_1,Re,0.6971475290697675,0.7302325581395349,0.6640625
EVALUATION_2,ICM,0.09607979597269638,,
EVALUATION_2,ICM-Norm,0.5504048475648662,,
EVALUATION_2,F1,0.7054960607633156,0.7982261640798226,0.6127659574468085
EVALUATION_2,Pr,0.7178045303342309,0.7627118644067796,0.6728971962616822
EVALUATION_2,Re,0.6998546511627908,0.8372093023255814,0.5625
EVALUATION_3,ICM,0.12686813284174614,,
EVALUATION_3,ICM-Norm,0.5666534797336926,,
EVALUATION_3,F1,0.7189862899875363,0.7954022988505747,0.642570281124498
EVALUATION_3,Pr,0.7210506706408346,0.7863636363636364,0.6557377049180327
EVALUATION_3,Re,0.7172862113166087,0.8046511627906977,0.6299212598425197
EVALUATION_4,ICM,0.1823322559544733,,
EVALUATION_4,ICM-Norm,0.5955726342230211,,
EVALUATION_4,F1,0.7378066588785046,0.8037383177570093,0.671875
EVALUATION_4,Pr,0.7378066588785046,0.8037383177570093,0.671875
EVALUATION_4,Re,0.7378066588785046,0.8037383177570093,0.671875
EVALUATION_5,ICM,-0.0820453863353381,,
EVALUATION_5,ICM-Norm,0.45699447880537597,,
EVALUATION_5,F1,0.6293865645793456,0.7756813417190777,0.48309178743961356
EVALUATION_5,Pr,0.6681667228185013,0.7034220532319392,0.6329113924050633
EVALUATION_5,Re,0.6275554906542056,0.8644859813084113,0.390625
average,F1,0.6967283927504231,0.7859349256861161,0.6075218598147301
average,ICM,0.07338386410065297,,
average,ICM-Norm,0.5385085942095806,,
average,Pr,0.7069062759749738,0.7682471743518728,0.6455653775980745
average,Re,0.6959301082163755,0.8080634644642469,0.5837967519685039
