evaluation,metric,average
EVALUATION_1,ICM-Soft,-0.17444053210216773
EVALUATION_1,ICM-Soft-Norm,0.471847550914488
EVALUATION_1,CE,0.9093564071733595
EVALUATION_2,ICM-Soft,-0.24142328260551538
EVALUATION_2,ICM-Soft-Norm,0.4611399845654647
EVALUATION_2,CE,0.9321804439817155
EVALUATION_3,ICM-Soft,-0.0857526317852733
EVALUATION_3,ICM-Soft-Norm,0.4861409201359257
EVALUATION_3,CE,0.9694679515900047
EVALUATION_4,ICM-Soft,-0.1753200318871917
EVALUATION_4,ICM-Soft-Norm,0.4716956322869651
EVALUATION_4,CE,0.9827248486666165
EVALUATION_5,ICM-Soft,-0.47987578227720223
EVALUATION_5,ICM-Soft-Norm,0.4224619115262381
EVALUATION_5,CE,1.0080634109367648
average,CE,0.9603586124696921
average,ICM-Soft,-0.23136245213147005
average,ICM-Soft-Norm,0.4626571998858163
