F1_train,F1_val,MCC_train,MCC_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.6826979517936707,,0.19490893185138702,,0.6157819032669067,,0.8163420557975769,0,42,,0.6707545518875122
0.3352251946926117,,0.0028135862667113543,,0.3345034122467041,,0.39530640840530396,,0,42,0.6878888010978699,
,0.6966242790222168,,0.439829558134079,,0.7886054515838623,,0.6693946123123169,1,85,,0.5919331312179565
0.6764950752258301,,0.3619808554649353,,0.7463873624801636,,0.6769899725914001,,1,85,0.6117178797721863,
,0.6922325491905212,,0.43816089630126953,,0.7987805604934692,,0.6360973119735718,2,128,,0.6108152866363525
0.8020608425140381,,0.5944114923477173,,0.8327159285545349,,0.8032919764518738,,2,128,0.4562379717826843,
,0.6621277928352356,,0.4032762050628662,,0.7866780161857605,,0.6027795076370239,3,171,,0.9591808319091797
0.9459143280982971,,0.882938802242279,,0.9500146508216858,,0.9493245482444763,,3,171,0.1902284473180771,
,0.7379592061042786,,0.4664475619792938,,0.7862327098846436,,0.719451367855072,4,214,,0.9460795521736145
0.9749420881271362,,0.9493638277053833,,0.9682304859161377,,0.9858348369598389,,4,214,0.08377816528081894,
,0.763926088809967,,0.4947804808616638,,0.808695375919342,,0.7534821033477783,5,257,,0.9363352656364441
0.9922863245010376,,0.9821866154670715,,0.9905924201011658,,0.9949019551277161,,5,257,0.03718487173318863,
,0.6966242790222168,,0.439829558134079,,0.7886054515838623,,0.6693946123123169,6,258,,0.5919331312179565
