evaluation,metric,average,YES,NO
EVALUATION_1,ICM,0.06545409369272215,,
EVALUATION_1,ICM-Norm,0.5331236353234287,,
EVALUATION_1,F1,0.6895922737326297,0.743142144638404,0.6360424028268552
EVALUATION_1,Pr,0.693993972445465,0.7163461538461539,0.6716417910447762
EVALUATION_1,Re,0.6880237855130924,0.772020725388601,0.6040268456375839
EVALUATION_2,ICM,0.21880972434139015,,
EVALUATION_2,ICM-Norm,0.6107306373888427,,
EVALUATION_2,F1,0.7416208791208792,0.7582417582417582,0.725
EVALUATION_2,Pr,0.7426900584795322,0.8070175438596491,0.6783625730994152
EVALUATION_2,Re,0.7467746983343186,0.7150259067357513,0.7785234899328859
EVALUATION_3,ICM,0.054648028983654416,,
EVALUATION_3,ICM-Norm,0.5276551286722652,,
EVALUATION_3,F1,0.6876550868486353,0.7150537634408602,0.6602564102564102
EVALUATION_3,Pr,0.687459300133667,0.7430167597765364,0.6319018404907976
EVALUATION_3,Re,0.6901971693848454,0.689119170984456,0.6912751677852349
EVALUATION_4,ICM,0.1289064026847044,,
EVALUATION_4,ICM-Norm,0.5652755939076998,,
EVALUATION_4,F1,0.7117149758454107,0.7277777777777777,0.6956521739130435
EVALUATION_4,Pr,0.7140546493220455,0.7844311377245509,0.6436781609195402
EVALUATION_4,Re,0.7177566167203473,0.6787564766839378,0.7567567567567568
EVALUATION_5,ICM,0.2001795565316715,,
EVALUATION_5,ICM-Norm,0.6013668768086357,,
EVALUATION_5,F1,0.735248447204969,0.75,0.7204968944099379
EVALUATION_5,Pr,0.7375249500998005,0.8083832335329342,0.6666666666666666
EVALUATION_5,Re,0.741632824534379,0.6994818652849741,0.7837837837837838
average,F1,0.7131663325505048,0.73884308881976,0.6874895762812494
average,ICM,0.13359956124682854,,
average,ICM-Norm,0.5676303744201744,,
average,Pr,0.7151445860961021,0.7718389657479648,0.6584502064442391
average,Re,0.7168770188973965,0.7108808290155441,0.7228732087792491
