evaluation,metric,average
EVALUATION_1,ICM-Soft,-0.10999881120762467
EVALUATION_1,ICM-Soft-Norm,0.4819096260432354
EVALUATION_1,CE,0.9511982042338883
EVALUATION_2,ICM-Soft,-0.04551009847655378
EVALUATION_2,ICM-Soft-Norm,0.49252289511355746
EVALUATION_2,CE,1.082643874415132
EVALUATION_3,ICM-Soft,-0.09585039750277877
EVALUATION_3,ICM-Soft-Norm,0.4842297383193016
EVALUATION_3,CE,0.9592493509736371
EVALUATION_4,ICM-Soft,-0.3159537058573009
EVALUATION_4,ICM-Soft-Norm,0.448180713571708
EVALUATION_4,CE,0.9117979168854651
EVALUATION_5,ICM-Soft,-0.09511850377264866
EVALUATION_5,ICM-Soft-Norm,0.4844399514444857
EVALUATION_5,CE,0.9334528129940447
average,CE,0.9676684319004334
average,ICM-Soft,-0.13248630336338135
average,ICM-Soft-Norm,0.4782565848984577
