F1_train,F1_val,MCC_train,MCC_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.6766654253005981,,0.2201956957578659,,0.7160714268684387,,0.7526816129684448,0,42,,0.6386927962303162
0.43103933334350586,,-0.01259033102542162,,0.5173310041427612,,0.4692271947860718,,0,42,0.6660121083259583,
,0.6627853512763977,,0.2931146025657654,,0.7651429176330566,,0.6046860218048096,1,85,,0.622424304485321
0.6981940865516663,,0.2977983057498932,,0.7562131881713867,,0.722994327545166,,1,85,0.5856208801269531,
,0.6781863570213318,,0.30415430665016174,,0.7637079358100891,,0.631699800491333,2,128,,0.6798704862594604
0.7988125085830688,,0.5151416659355164,,0.8518986701965332,,0.7825431227684021,,2,128,0.4683099091053009,
,0.7289409041404724,,0.3658166527748108,,0.777576744556427,,0.7058238387107849,3,171,,0.6554210782051086
0.8840625286102295,,0.7235648036003113,,0.9209502935409546,,0.8646216988563538,,3,171,0.3302505910396576,
,0.7247070074081421,,0.38341453671455383,,0.790848970413208,,0.6881257891654968,4,214,,0.713785707950592
0.9479142427444458,,0.8628153204917908,,0.9602798223495483,,0.9405677318572998,,4,214,0.17970505356788635,
,0.735326886177063,,0.3125312328338623,,0.7290264964103699,,0.7629361748695374,5,257,,1.1103461980819702
0.9846054911613464,,0.9587331414222717,,0.9821431040763855,,0.9886214137077332,,5,257,0.0648614913225174,
,0.6627853512763977,,0.2931146025657654,,0.7651429176330566,,0.6046860218048096,6,258,,0.622424304485321
