evaluation,metric,average,YES,NO
EVALUATION_1,ICM,-0.05846228884228354,,
EVALUATION_1,ICM-Norm,0.46932983956142155,,
EVALUATION_1,F1,0.6580259222333,0.7058823529411764,0.6101694915254238
EVALUATION_1,Pr,0.661506532389766,0.7840909090909091,0.5389221556886228
EVALUATION_1,Re,0.6724927325581396,0.641860465116279,0.703125
EVALUATION_2,ICM,-0.01980497382135906,,
EVALUATION_2,ICM-Norm,0.4896100249132976,,
EVALUATION_2,F1,0.6654411764705882,0.7678571428571428,0.5630252100840336
EVALUATION_2,Pr,0.6736441669918065,0.7381974248927039,0.6090909090909091
EVALUATION_2,Re,0.66171875,0.8,0.5234375
EVALUATION_3,ICM,-0.01117767605481399,,
EVALUATION_3,ICM-Norm,0.4941275165977364,,
EVALUATION_3,F1,0.6476960164820578,0.8032454361054767,0.49214659685863876
EVALUATION_3,Pr,0.7233026079136691,0.7122302158273381,0.734375
EVALUATION_3,Re,0.6455044863578099,0.9209302325581395,0.3700787401574803
EVALUATION_4,ICM,-0.11090947269887862,,
EVALUATION_4,ICM-Norm,0.4418648641699208,,
EVALUATION_4,F1,0.640516005733397,0.6857142857142856,0.5953177257525084
EVALUATION_4,Pr,0.6461988304093567,0.7719298245614035,0.52046783625731
EVALUATION_4,Re,0.656067464953271,0.616822429906542,0.6953125
EVALUATION_5,ICM,0.0019369765181576771,,
EVALUATION_5,ICM-Norm,0.501015300048252,,
EVALUATION_5,F1,0.67806905370844,0.7401960784313727,0.6159420289855072
EVALUATION_5,Pr,0.676337419894121,0.7783505154639175,0.5743243243243243
EVALUATION_5,Re,0.684834988317757,0.705607476635514,0.6640625
average,F1,0.6579496349255566,0.7405790592098909,0.5753202106412224
average,ICM,-0.0396834869798355,,
average,ICM-Norm,0.47918950905812563,,
average,Pr,0.6761979115197438,0.7569597779672544,0.5954360450722332
average,Re,0.6641236844373954,0.737044120843295,0.5912032480314962
