evaluation,metric,average
EVALUATION_1,ICM-Soft,-0.38036563365823206
EVALUATION_1,ICM-Soft-Norm,0.438613898923616
EVALUATION_1,CE,0.9455267987374438
EVALUATION_2,ICM-Soft,-0.621695990656544
EVALUATION_2,ICM-Soft-Norm,0.3999304643207178
EVALUATION_2,CE,0.9276367426228015
EVALUATION_3,ICM-Soft,-0.45780590475222643
EVALUATION_3,ICM-Soft-Norm,0.4260108003204687
EVALUATION_3,CE,0.9435195144176115
EVALUATION_4,ICM-Soft,-0.8016890183532202
EVALUATION_4,ICM-Soft-Norm,0.3705721159030356
EVALUATION_4,CE,0.936533971624405
EVALUATION_5,ICM-Soft,-0.519724119403896
EVALUATION_5,ICM-Soft-Norm,0.41602323717805634
EVALUATION_5,CE,0.9412750961272602
average,CE,0.9388984247059045
average,ICM-Soft,-0.5562561333648237
average,ICM-Soft-Norm,0.41023010332917886
