evaluation,metric,average,YES,NO
EVALUATION_1,ICM,0.22524984148547636,,
EVALUATION_1,ICM-Norm,0.6139897168395845,,
EVALUATION_1,F1,0.7438382841482865,0.7880299251870324,0.6996466431095406
EVALUATION_1,Pr,0.7492106773823192,0.7596153846153846,0.7388059701492538
EVALUATION_1,Re,0.7415411899711375,0.8186528497409327,0.6644295302013423
EVALUATION_2,ICM,0.20403780909888472,,
EVALUATION_2,ICM-Norm,0.6032551762539229,,
EVALUATION_2,F1,0.7304040854097407,0.7177914110429449,0.7430167597765364
EVALUATION_2,Pr,0.7580314422419685,0.8796992481203008,0.6363636363636364
EVALUATION_2,Re,0.7494175331223702,0.6062176165803109,0.8926174496644296
EVALUATION_3,ICM,0.05752239262584674,,
EVALUATION_3,ICM-Norm,0.5291097263559159,,
EVALUATION_3,F1,0.6885056773331715,0.7258485639686685,0.6511627906976745
EVALUATION_3,Pr,0.6881578947368421,0.7315789473684211,0.6447368421052632
EVALUATION_3,Re,0.6889626873456898,0.7202072538860104,0.6577181208053692
EVALUATION_4,ICM,0.1921647527714191,,
EVALUATION_4,ICM-Norm,0.5973083423634244,,
EVALUATION_4,F1,0.7322053259084744,0.7832512315270936,0.6811594202898551
EVALUATION_4,Pr,0.7404269366197183,0.7464788732394366,0.734375
EVALUATION_4,Re,0.7294846660131634,0.8238341968911918,0.6351351351351351
EVALUATION_5,ICM,0.266322130575817,,
EVALUATION_5,ICM-Norm,0.6348601379143379,,
EVALUATION_5,F1,0.7584415584415585,0.7896103896103895,0.7272727272727273
EVALUATION_5,Pr,0.7582494407158836,0.7916666666666666,0.7248322147651006
EVALUATION_5,Re,0.758647248284554,0.7875647668393783,0.7297297297297297
average,F1,0.7306789862482462,0.7609063042672257,0.7004516682292667
average,ICM,0.18905938531148878,,
average,ICM-Norm,0.5957046199454371,,
average,Pr,0.7388152783393463,0.781807824002042,0.6958227326766508
average,Re,0.733610664947383,0.7512953367875648,0.7159259931072012
