evaluation,metric,average,NO,YES
EVALUATION_1,ICM,0.319334890579573,,
EVALUATION_1,ICM-Norm,0.6604651845490729,,
EVALUATION_1,F1,0.7737237862588862,0.7818756585879874,0.7655719139297849
EVALUATION_1,Pr,0.7745030728667535,0.8189845474613686,0.7300215982721382
EVALUATION_1,Re,0.7763728878648233,0.7479838709677419,0.8047619047619048
EVALUATION_2,ICM,0.25136136577388646,,
EVALUATION_2,ICM-Norm,0.6262758111519332,,
EVALUATION_2,F1,0.7515649001536099,0.7721774193548387,0.730952380952381
EVALUATION_2,Pr,0.751660319914715,0.7706237424547284,0.7326968973747017
EVALUATION_2,Re,0.751476762878188,0.7737373737373737,0.7292161520190024
EVALUATION_3,ICM,-0.44373035946096373,,
EVALUATION_3,ICM-Norm,0.2770842352755341,,
EVALUATION_3,F1,0.35081502480510274,0.7016300496102055,0.0
EVALUATION_3,Pr,0.5403930131004366,0.5403930131004366,
EVALUATION_3,Re,0.5,1.0,0.0
EVALUATION_4,ICM,0.2574659369164518,,
EVALUATION_4,ICM-Norm,0.6293606137824377,,
EVALUATION_4,F1,0.753455990121082,0.7798617966436328,0.7270501835985312
EVALUATION_4,Pr,0.7553295468912598,0.7625482625482626,0.7481108312342569
EVALUATION_4,Re,0.7525613275613277,0.797979797979798,0.7071428571428572
EVALUATION_5,ICM,0.21620681992902907,,
EVALUATION_5,ICM-Norm,0.6086304746365112,,
EVALUATION_5,F1,0.7395095693779904,0.7494736842105263,0.7295454545454545
EVALUATION_5,Pr,0.7401218346870521,0.7824175824175824,0.6978260869565217
EVALUATION_5,Re,0.7417388167388167,0.7191919191919192,0.7642857142857142
average,F1,0.6738138541433342,0.757003721681438,0.5906239866052303
average,ICM,0.12012773074759533,,
average,ICM-Norm,0.5603632638790979,,
average,Pr,0.7124015574920434,0.7349934295964757,0.7271638534594046
average,Re,0.7044299590086311,0.8077785923753666,0.6010813256418956
