evaluation,metric,average,YES,NO
EVALUATION_1,ICM,0.074916630675681,,
EVALUATION_1,ICM-Norm,0.539302345628983,,
EVALUATION_1,F1,0.6950757575757576,0.8008658008658008,0.5892857142857143
EVALUATION_1,Pr,0.7182439271255061,0.7489878542510121,0.6875
EVALUATION_1,Re,0.6880450581395349,0.8604651162790697,0.515625
EVALUATION_2,ICM,0.07640432598759352,,
EVALUATION_2,ICM-Norm,0.5400828120596282,,
EVALUATION_2,F1,0.7010570824524313,0.7376623376623376,0.6644518272425249
EVALUATION_2,Pr,0.7066643998639919,0.8352941176470589,0.5780346820809249
EVALUATION_2,Re,0.7208575581395349,0.6604651162790698,0.78125
EVALUATION_3,ICM,0.0017898339713627275,,
EVALUATION_3,ICM-Norm,0.5009403359193889,,
EVALUATION_3,F1,0.6783266896582614,0.7469879518072289,0.6096654275092938
EVALUATION_3,Pr,0.6762323943661972,0.775,0.5774647887323944
EVALUATION_3,Re,0.6832997619483611,0.7209302325581395,0.6456692913385826
EVALUATION_4,ICM,0.032629260629777654,,
EVALUATION_4,ICM-Norm,0.5171031964410949,,
EVALUATION_4,F1,0.6852029194365674,0.774487471526196,0.5959183673469388
EVALUATION_4,Pr,0.6897435897435897,0.7555555555555555,0.6239316239316239
EVALUATION_4,Re,0.682352511682243,0.794392523364486,0.5703125
EVALUATION_5,ICM,0.07690062746700017,,
EVALUATION_5,ICM-Norm,0.5403088060417546,,
EVALUATION_5,F1,0.6985641851869402,0.7928730512249443,0.6042553191489362
EVALUATION_5,Pr,0.7104991051898986,0.7574468085106383,0.6635514018691588
EVALUATION_5,Re,0.6932316004672897,0.8317757009345794,0.5546875
average,F1,0.6916453268619915,0.7705753226173016,0.6127153311066815
average,ICM,0.05252813574628301,,
average,ICM-Norm,0.5275474992181699,,
average,Pr,0.7002766832578367,0.774456867192853,0.6260964993228204
average,Re,0.6935572980753927,0.7736057378830689,0.6135088582677165
