F1_train,F1_val,MCC_train,MCC_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.44232720136642456,,0.16833674907684326,,0.6929352283477783,,0.35009533166885376,0,122,,0.6869924664497375
0.3085186779499054,,0.049696315079927444,,0.336639940738678,,0.3477892279624939,,0,122,0.6764343976974487,
,0.0,,-0.051678016781806946,,0.0,,0.0,1,245,,0.7064825296401978
0.37805530428886414,,0.18205392360687256,,0.44463565945625305,,0.41824349761009216,,1,245,0.6534408926963806,
,0.0,,-0.051678016781806946,,0.0,,0.0,2,368,,0.6894984245300293
0.3249433636665344,,0.0738142728805542,,0.33080172538757324,,0.40184155106544495,,2,368,0.6917123794555664,
,0.0,,-0.051678016781806946,,0.0,,0.0,3,491,,0.6912065148353577
0.2875964045524597,,0.05106409639120102,,0.3145407438278198,,0.32709673047065735,,3,491,0.6563740372657776,
,0.7498581409454346,,0.429609090089798,,0.7182146906852722,,0.8312312960624695,4,614,,0.6066485047340393
0.3245360255241394,,0.12138130515813828,,0.37030860781669617,,0.35328230261802673,,4,614,0.6555977463722229,
,0.7586262822151184,,0.4278905391693115,,0.7035949230194092,,0.8609964847564697,5,737,,0.5948461294174194
0.582973062992096,,0.4402003288269043,,0.6333334445953369,,0.6173128485679626,,5,737,0.6010690927505493,
,0.6986774802207947,,0.21858474612236023,,0.5609143972396851,,0.9909835457801819,6,860,,0.6660295128822327
0.650803804397583,,0.4710918962955475,,0.6532898545265198,,0.7219192981719971,,6,860,0.5751725435256958,
,0.7297403216362,,0.3740547001361847,,0.6981616020202637,,0.8042502999305725,7,983,,0.5936925411224365
0.5502637028694153,,0.3886343538761139,,0.6132096648216248,,0.5732848048210144,,7,983,0.5786446332931519,
,0.6815748810768127,,0.41291096806526184,,0.8059971332550049,,0.6400378346443176,8,1106,,0.5739427804946899
0.6439915895462036,,0.5194615721702576,,0.6698248982429504,,0.6845918893814087,,8,1106,0.5316954851150513,
,0.7236307859420776,,0.42065006494522095,,0.7730320692062378,,0.7228012681007385,9,1229,,0.5727697014808655
0.6396645307540894,,0.5268467664718628,,0.6960616111755371,,0.6513582468032837,,9,1229,0.5220465064048767,
,0.7236307859420776,,0.42065006494522095,,0.7730320692062378,,0.7228012681007385,10,1230,,0.5727697014808655
