evaluation,metric,average,YES,NO
EVALUATION_1,ICM,0.2145724728618842,,
EVALUATION_1,ICM-Norm,0.6077042681646322,,
EVALUATION_1,F1,0.7354102728425238,0.7841788478073947,0.686641697877653
EVALUATION_1,Pr,0.7558894099683717,0.7169811320754716,0.7947976878612717
EVALUATION_1,Re,0.7348353733552975,0.8652751423149905,0.6043956043956044
EVALUATION_2,ICM,0.35835755428094024,,
EVALUATION_2,ICM-Norm,0.6798980276321287,,
EVALUATION_2,F1,0.7837153609305509,0.8286919831223629,0.7387387387387389
EVALUATION_2,Pr,0.8173727497718013,0.7462006079027356,0.8885448916408669
EVALUATION_2,Re,0.7819236974312249,0.9316888045540797,0.6321585903083701
EVALUATION_3,ICM,0.2113071332072275,,
EVALUATION_3,ICM-Norm,0.6060776758700006,,
EVALUATION_3,F1,0.7380288742385046,0.7543186180422264,0.7217391304347827
EVALUATION_3,Pr,0.7377765740239177,0.7631067961165049,0.7124463519313304
EVALUATION_3,Re,0.7385040416621388,0.74573055028463,0.7312775330396476
EVALUATION_4,ICM,0.23866160046586407,,
EVALUATION_4,ICM-Norm,0.6197838032613723,,
EVALUATION_4,F1,0.7436634439508754,0.7906976744186047,0.696629213483146
EVALUATION_4,Pr,0.7645965135860908,0.7228346456692913,0.8063583815028902
EVALUATION_4,Re,0.7429051936656499,0.8726235741444867,0.6131868131868132
EVALUATION_5,ICM,0.32947279744595354,,
EVALUATION_5,ICM-Norm,0.6653617702730726,,
EVALUATION_5,F1,0.7742261725321639,0.8184143222506395,0.7300380228136882
EVALUATION_5,Pr,0.8020805375338966,0.7418856259659969,0.8622754491017964
EVALUATION_5,Re,0.7727572807420716,0.9125475285171103,0.6329670329670329
average,F1,0.7550088248989237,0.7952602891282456,0.7147573606696017
average,ICM,0.2704743116523739,,
average,ICM-Norm,0.6357651090402413,,
average,Pr,0.7755431569768156,0.738201761546,0.8128845524076311
average,Re,0.7541851173712766,0.8655731199630594,0.6427971147794936
