evaluation,metric,average
EVALUATION_1,ICM-Soft,0.2950687298240933
EVALUATION_1,ICM-Soft-Norm,0.5488556061916235
EVALUATION_1,CE,0.9082987923776755
EVALUATION_2,ICM-Soft,0.43164569437842676
EVALUATION_2,ICM-Soft-Norm,0.5716927550607728
EVALUATION_2,CE,0.8408551420824234
EVALUATION_3,ICM-Soft,0.09829325308880156
EVALUATION_3,ICM-Soft-Norm,0.5163603946664533
EVALUATION_3,CE,0.9379005350931576
EVALUATION_4,ICM-Soft,0.3273908551395858
EVALUATION_4,ICM-Soft-Norm,0.5543677513732551
EVALUATION_4,CE,0.8818032845324032
EVALUATION_5,ICM-Soft,0.4750522306297812
EVALUATION_5,ICM-Soft-Norm,0.5791399068857399
EVALUATION_5,CE,0.8643757579889665
average,CE,0.8866467024149252
average,ICM-Soft,0.32549015261213776
average,ICM-Soft-Norm,0.554083282835569
