F1_train,F1_val,MCC_train,MCC_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.6578631401062012,,0.24666301906108856,,0.6551889777183533,,0.7226792573928833,0,42,,0.6646226644515991
0.281734436750412,,-0.013998547568917274,,0.31378287076950073,,0.28983375430107117,,0,42,0.689384937286377,
,0.7640517950057983,,0.4465499520301819,,0.7186570763587952,,0.8362175226211548,1,85,,0.5630019307136536
0.6824333667755127,,0.41845571994781494,,0.6823071241378784,,0.7502445578575134,,1,85,0.5938641428947449,
,0.7519688606262207,,0.4495324492454529,,0.7382968664169312,,0.7880694270133972,2,128,,0.5185790657997131
0.788884699344635,,0.6340465545654297,,0.8069404363632202,,0.8355327844619751,,2,128,0.4670168459415436,
,0.786196231842041,,0.4727054834365845,,0.705115795135498,,0.9124854207038879,3,171,,0.6149351000785828
0.855076253414154,,0.8075590133666992,,0.8504399061203003,,0.8873412013053894,,3,171,0.28881117701530457,
,0.7761901021003723,,0.49019187688827515,,0.7450820207595825,,0.8390915393829346,4,214,,0.6209079623222351
0.8998463153839111,,0.8981932401657104,,0.890518069267273,,0.9303519129753113,,4,214,0.17950718104839325,
,0.7493878602981567,,0.4631578326225281,,0.7592462301254272,,0.763105571269989,5,257,,0.8260394334793091
0.9385560154914856,,0.9391458034515381,,0.9354837536811829,,0.9528347849845886,,5,257,0.1112188845872879,
,0.7691863775253296,,0.474149614572525,,0.7451490759849548,,0.8205129504203796,6,300,,0.7706158757209778
0.9554532766342163,,0.9615771770477295,,0.9489248394966125,,0.9704301953315735,,6,300,0.08191722631454468,
,0.7519688606262207,,0.4495324492454529,,0.7382968664169312,,0.7880694270133972,7,301,,0.5185790657997131
