evaluation,metric,average,YES,NO
EVALUATION_1,ICM,0.07866074059105271,,
EVALUATION_1,ICM-Norm,0.5398069782745851,,
EVALUATION_1,F1,0.6895382296519594,0.676829268292683,0.702247191011236
EVALUATION_1,Pr,0.7130434782608696,0.8222222222222222,0.6038647342995169
EVALUATION_1,Re,0.7070278540877004,0.5751295336787565,0.8389261744966443
EVALUATION_2,ICM,0.39814343197317514,,
EVALUATION_2,ICM-Norm,0.7014840799570057,,
EVALUATION_2,F1,0.8020200623817382,0.8222811671087532,0.781758957654723
EVALUATION_2,Pr,0.8009424876169511,0.842391304347826,0.759493670886076
EVALUATION_2,Re,0.8042389679034669,0.8031088082901554,0.8053691275167785
EVALUATION_3,ICM,-0.02907004903208153,,
EVALUATION_3,ICM-Norm,0.4852888391138181,,
EVALUATION_3,F1,0.6597603702582291,0.6965699208443272,0.6229508196721311
EVALUATION_3,Pr,0.6593258891645988,0.7096774193548387,0.6089743589743589
EVALUATION_3,Re,0.6607608582258233,0.6839378238341969,0.6375838926174496
EVALUATION_4,ICM,0.15989770961602173,,
EVALUATION_4,ICM-Norm,0.5809689646308406,,
EVALUATION_4,F1,0.7218794326241135,0.77,0.6737588652482269
EVALUATION_4,Pr,0.7264582882688009,0.7439613526570048,0.7089552238805971
EVALUATION_4,Re,0.7199096765158941,0.7979274611398963,0.6418918918918919
EVALUATION_5,ICM,0.2422500843885582,,
EVALUATION_5,ICM-Norm,0.6226705408212422,,
EVALUATION_5,F1,0.748633585041352,0.8009708737864077,0.6962962962962963
EVALUATION_5,Pr,0.7619582304064676,0.7534246575342466,0.7704918032786885
EVALUATION_5,Re,0.7450287074639406,0.8549222797927462,0.6351351351351351
average,F1,0.7243663359914784,0.7533302460064342,0.6954024259765227
average,ICM,0.16997638350734526,,
average,ICM-Norm,0.5860438805594983,,
average,Pr,0.7323456747435376,0.7743353912232276,0.6903559582638474
average,Re,0.7273932128393651,0.7430051813471502,0.7117812443315799
