evaluation,metric,average
EVALUATION_1,ICM-Soft,-0.263289263854114
EVALUATION_1,ICM-Soft-Norm,0.45669952075271125
EVALUATION_1,CE,0.9251254500749669
EVALUATION_2,ICM-Soft,0.2962783900570299
EVALUATION_2,ICM-Soft-Norm,0.5486772095029424
EVALUATION_2,CE,1.0375599236918664
EVALUATION_3,ICM-Soft,-0.15941509287956995
EVALUATION_3,ICM-Soft-Norm,0.473771441787805
EVALUATION_3,CE,0.9280690250223964
EVALUATION_4,ICM-Soft,0.2241539590947946
EVALUATION_4,ICM-Soft-Norm,0.5367632915678314
EVALUATION_4,CE,0.8848613977402051
EVALUATION_5,ICM-Soft,-0.004301776654412563
EVALUATION_5,ICM-Soft-Norm,0.4992962898809087
EVALUATION_5,CE,1.0454840795235236
average,CE,0.9642199752105917
average,ICM-Soft,0.018685243152745595
average,ICM-Soft-Norm,0.5030415506984397
