evaluation,metric,average,YES,NO
EVALUATION_1,ICM,5.811684581187116e-05,,
EVALUATION_1,ICM-Norm,0.5000304889360395,,
EVALUATION_1,F1,0.6703962703962705,0.778021978021978,0.5627705627705628
EVALUATION_1,Pr,0.6842839805825243,0.7375,0.6310679611650486
EVALUATION_1,Re,0.6655341569767441,0.8232558139534883,0.5078125
EVALUATION_2,ICM,0.018389924566711267,,
EVALUATION_2,ICM-Norm,0.5096476198261067,,
EVALUATION_2,F1,0.676923076923077,0.7824175824175824,0.5714285714285714
EVALUATION_2,Pr,0.6912216828478965,0.7416666666666667,0.6407766990291263
EVALUATION_2,Re,0.671765988372093,0.827906976744186,0.515625
EVALUATION_3,ICM,0.0900465978696379,,
EVALUATION_3,ICM-Norm,0.5473083267779988,,
EVALUATION_3,F1,0.7063564603240547,0.786206896551724,0.6265060240963854
EVALUATION_3,Pr,0.7083084947839047,0.7772727272727272,0.639344262295082
EVALUATION_3,Re,0.7047610327778795,0.7953488372093023,0.6141732283464567
EVALUATION_4,ICM,-0.060935955077261246,,
EVALUATION_4,ICM-Norm,0.46805935562447226,,
EVALUATION_4,F1,0.643146828365555,0.7725321888412018,0.5137614678899083
EVALUATION_4,Pr,0.6682539682539683,0.7142857142857143,0.6222222222222222
EVALUATION_4,Re,0.6393107476635513,0.8411214953271028,0.4375
EVALUATION_5,ICM,-0.07668306992684377,,
EVALUATION_5,ICM-Norm,0.4598052305399735,,
EVALUATION_5,F1,0.6234072675790467,0.7852760736196319,0.46153846153846156
EVALUATION_5,Pr,0.6849118046132971,0.6981818181818182,0.6716417910447762
EVALUATION_5,Re,0.6243793808411215,0.897196261682243,0.3515625
average,F1,0.6640459807176008,0.7808909438904237,0.5472010175447779
average,ICM,-0.005824877144388797,,
average,ICM-Norm,0.4969702043409182,,
average,Pr,0.6873959862163181,0.7337813852813853,0.641010587151251
average,Re,0.6611502613262779,0.8369658769832645,0.4853346456692913
