F1_train,F1_val,MCC_train,MCC_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.7290813326835632,,0.11746876686811447,,0.5986699461936951,,0.9746232628822327,0,85,,0.6818124651908875
0.6030425429344177,,0.0809796154499054,,0.5929546356201172,,0.7165727615356445,,0,85,0.6966373324394226,
,0.7245259284973145,,0.14692732691764832,,0.6166384816169739,,0.9179732203483582,1,171,,0.6647320985794067
0.6256694793701172,,0.15890057384967804,,0.6213902235031128,,0.7410888671875,,1,171,0.6767686605453491,
,0.7029054760932922,,0.11518244445323944,,0.6257885694503784,,0.8327823877334595,2,257,,0.6507759690284729
0.6642420887947083,,0.23241311311721802,,0.6373015642166138,,0.7823798656463623,,2,257,0.6422062516212463,
,0.6954091787338257,,0.09290295839309692,,0.6128172278404236,,0.8352580070495605,3,343,,0.6532023549079895
0.6922823786735535,,0.30928248167037964,,0.6619325876235962,,0.8074634671211243,,3,343,0.6145778894424438,
,0.6946296095848083,,0.1423707753419876,,0.6341478824615479,,0.8013862371444702,4,429,,0.6588258147239685
0.7178409695625305,,0.37694647908210754,,0.6833404302597046,,0.8318541049957275,,4,429,0.5817498564720154,
,0.6814998388290405,,0.14810623228549957,,0.6359980702400208,,0.763536810874939,5,515,,0.654047429561615
0.7478523254394531,,0.46266674995422363,,0.7216863036155701,,0.8390945792198181,,5,515,0.5401355624198914,
,0.6826978325843811,,0.13922126591205597,,0.6342488527297974,,0.7692914009094238,6,601,,0.6661512851715088
0.7709646224975586,,0.5324379205703735,,0.7436926960945129,,0.8563392162322998,,6,601,0.5013197660446167,
,0.7029054760932922,,0.11518244445323944,,0.6257885694503784,,0.8327823877334595,7,602,,0.6507759690284729
