evaluation,metric,average,NO,YES
EVALUATION_1,ICM,-0.32673358658986723,,
EVALUATION_1,ICM-Norm,0.33209405874418557,,
EVALUATION_1,F1,0.5284601811317373,0.351288056206089,0.7056323060573857
EVALUATION_1,Pr,0.5597890237689946,0.4966887417218543,0.6228893058161351
EVALUATION_1,Re,0.5427323103154305,0.2717391304347826,0.8137254901960784
EVALUATION_2,ICM,-0.2751343300067994,,
EVALUATION_2,ICM-Norm,0.358610529961929,,
EVALUATION_2,F1,0.5453576364416196,0.3705463182897862,0.720168954593453
EVALUATION_2,Pr,0.5852920478536242,0.5379310344827586,0.6326530612244898
EVALUATION_2,Re,0.5591965046888321,0.2826086956521739,0.8357843137254902
EVALUATION_3,ICM,-0.252361402312235,,
EVALUATION_3,ICM-Norm,0.3703133668193658,,
EVALUATION_3,F1,0.5177643558200471,0.28651685393258425,0.7490118577075099
EVALUATION_3,Pr,0.6324917218543047,0.6375,0.6274834437086093
EVALUATION_3,Re,0.5568520886615516,0.18478260869565216,0.928921568627451
EVALUATION_4,ICM,-0.35934218789030326,,
EVALUATION_4,ICM-Norm,0.3154918666153076,,
EVALUATION_4,F1,0.5220429424469571,0.35294117647058826,0.6911447084233261
EVALUATION_4,Pr,0.5446488001401296,0.4727272727272727,0.6165703275529865
EVALUATION_4,Re,0.5339146169471078,0.2815884476534296,0.7862407862407862
EVALUATION_5,ICM,-0.3140875737005522,,
EVALUATION_5,ICM-Norm,0.33872833779120065,,
EVALUATION_5,F1,0.5048687371310913,0.28191489361702127,0.7278225806451613
EVALUATION_5,Pr,0.5762237762237763,0.5353535353535354,0.6170940170940171
EVALUATION_5,Re,0.5391568135250445,0.19133574007220217,0.8869778869778869
average,F1,0.5236987705942905,0.3286414597032138,0.7187560814853672
average,ICM,-0.3055318160999514,,
average,ICM-Norm,0.3430476319863977,,
average,Pr,0.5796890739681659,0.5360401168570842,0.6233380310792476
average,Re,0.5463704668275933,0.24241092450164808,0.8503300091535385
