evaluation,metric,average,YES,NO
EVALUATION_1,ICM,0.0703289424926335,,
EVALUATION_1,ICM-Norm,0.535590596590407,,
EVALUATION_1,F1,0.6865314933312775,0.672782874617737,0.700280112044818
EVALUATION_1,Pr,0.7109285304247991,0.8208955223880597,0.6009615384615384
EVALUATION_1,Re,0.7044371805125709,0.5699481865284974,0.8389261744966443
EVALUATION_2,ICM,-0.4160424390466456,,
EVALUATION_2,ICM-Norm,0.2894579658417427,,
EVALUATION_2,F1,0.36074766355140186,0.7214953271028037,0.0
EVALUATION_2,Pr,0.564327485380117,0.564327485380117,
EVALUATION_2,Re,0.5,1.0,0.0
EVALUATION_3,ICM,-0.09670711650729458,,
EVALUATION_3,ICM-Norm,0.45106049019017846,,
EVALUATION_3,F1,0.6305555555555555,0.6111111111111112,0.6499999999999999
EVALUATION_3,Pr,0.6551137802539706,0.7557251908396947,0.5545023696682464
EVALUATION_3,Re,0.6490941336022533,0.5129533678756477,0.785234899328859
EVALUATION_4,ICM,0.025061089079570754,,
EVALUATION_4,ICM-Norm,0.5126904284005503,,
EVALUATION_4,F1,0.6724481658692185,0.7464114832535884,0.5984848484848485
EVALUATION_4,Pr,0.687183908045977,0.6933333333333334,0.6810344827586207
EVALUATION_4,Re,0.6710369696120991,0.8082901554404145,0.5337837837837838
EVALUATION_5,ICM,0.09906590858258403,,
EVALUATION_5,ICM-Norm,0.5501649715146489,,
EVALUATION_5,F1,0.6952467822033039,0.7738927738927739,0.616600790513834
EVALUATION_5,Pr,0.7231234866828087,0.7033898305084746,0.7428571428571429
EVALUATION_5,Re,0.693565326985016,0.8601036269430051,0.527027027027027
average,F1,0.6091059321021515,0.7051387139956028,0.5130731502087
average,ICM,-0.06365872307983038,,
average,ICM-Norm,0.46779289050750544,,
average,Pr,0.6681354381575344,0.707534272489936,0.6448388834363871
average,Re,0.6436267221423879,0.7502590673575129,0.5369943769272628
