evaluation,metric,average
EVALUATION_1,ICM-Soft,-0.2089977804859737
EVALUATION_1,ICM-Soft-Norm,0.4656282830367262
EVALUATION_1,CE,0.9537126276612861
EVALUATION_2,ICM-Soft,-0.5974463218602436
EVALUATION_2,ICM-Soft-Norm,0.4018422512342006
EVALUATION_2,CE,0.9619681765499581
EVALUATION_3,ICM-Soft,-0.660946956059702
EVALUATION_3,ICM-Soft-Norm,0.3912544264219624
EVALUATION_3,CE,0.9579162559771285
EVALUATION_4,ICM-Soft,-0.06833417035057333
EVALUATION_4,ICM-Soft-Norm,0.48879257346696436
EVALUATION_4,CE,0.9601376858449895
EVALUATION_5,ICM-Soft,-0.5287160720456345
EVALUATION_5,ICM-Soft-Norm,0.4135094915624976
EVALUATION_5,CE,0.9303817676683604
average,CE,0.9528233027403445
average,ICM-Soft,-0.41288826016042546
average,ICM-Soft-Norm,0.43220540514447026
