F1_train,F1_val,MCC_train,MCC_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.22328424453735352,,0.030330929905176163,,0.555555522441864,,0.15059490501880646,0,42,,0.654003381729126
0.41677355766296387,,0.022471731528639793,,0.4687134623527527,,0.46853941679000854,,0,42,0.6657256484031677,
,0.6708831787109375,,0.3061090111732483,,0.7739384770393372,,0.6184831261634827,1,85,,0.5990961194038391
0.5288007855415344,,0.18058082461357117,,0.5678432583808899,,0.6173350214958191,,1,85,0.6338309049606323,
,0.7203629612922668,,0.33292829990386963,,0.7698115110397339,,0.700971782207489,2,128,,0.6216912865638733
0.7372382283210754,,0.48242977261543274,,0.7571149468421936,,0.7864452004432678,,2,128,0.5291793346405029,
,0.6880125999450684,,0.2856194078922272,,0.752170979976654,,0.6699736714363098,3,171,,0.73332279920578
0.8336865305900574,,0.6844627261161804,,0.8462337255477905,,0.8566137552261353,,3,171,0.40289217233657837,
,0.6689565777778625,,0.25429567694664,,0.7439655065536499,,0.6422533392906189,4,214,,0.895633339881897
0.9070655703544617,,0.8296338319778442,,0.9007518291473389,,0.9312586188316345,,4,214,0.22649487853050232,
,0.7472884058952332,,0.2138652801513672,,0.6800210475921631,,0.8635957837104797,5,257,,1.118600845336914
0.9422966837882996,,0.924887478351593,,0.9434627294540405,,0.9485031962394714,,5,257,0.11365251243114471,
,0.6752862930297852,,0.33048272132873535,,0.7749399542808533,,0.6252291798591614,6,258,,0.5942314863204956
