evaluation,metric,average,YES,NO
EVALUATION_1,ICM,-0.05233715705719741,,
EVALUATION_1,ICM-Norm,0.4725431720921205,,
EVALUATION_1,F1,0.6596765975704593,0.7350835322195703,0.5842696629213483
EVALUATION_1,Pr,0.6580265199605022,0.7549019607843137,0.5611510791366906
EVALUATION_1,Re,0.6628270348837209,0.7162790697674418,0.609375
EVALUATION_2,ICM,-0.0697877191467475,,
EVALUATION_2,ICM-Norm,0.46338835537815737,,
EVALUATION_2,F1,0.6512982552548428,0.7448275862068966,0.5577689243027889
EVALUATION_2,Pr,0.6527346637102734,0.7363636363636363,0.5691056910569106
EVALUATION_2,Re,0.6501816860465116,0.7534883720930232,0.546875
EVALUATION_3,ICM,-0.37380611827253823,,
EVALUATION_3,ICM-Norm,0.3036112144908113,,
EVALUATION_3,F1,0.40993788819875776,0.7619047619047619,0.057971014492753624
EVALUATION_3,Pr,0.49601757758857457,0.6283987915407855,0.36363636363636365
EVALUATION_3,Re,0.4994689617286211,0.9674418604651163,0.031496062992125984
EVALUATION_4,ICM,-0.06561185370112167,,
EVALUATION_4,ICM-Norm,0.46560840175181395,,
EVALUATION_4,F1,0.6555707066655971,0.7250608272506083,0.5860805860805861
EVALUATION_4,Pr,0.6540346577980045,0.7563451776649747,0.5517241379310345
EVALUATION_4,Re,0.6606308411214954,0.6962616822429907,0.625
EVALUATION_5,ICM,-0.06173115163197338,,
EVALUATION_5,ICM-Norm,0.46764253947166884,,
EVALUATION_5,F1,0.6561145591345654,0.6963350785340314,0.6158940397350993
EVALUATION_5,Pr,0.6630747126436781,0.7916666666666666,0.5344827586206896
EVALUATION_5,Re,0.6740289135514019,0.6214953271028038,0.7265625
average,F1,0.6065196013648444,0.7326423572231737,0.4803968455065153
average,ICM,-0.12465479996191564,,
average,ICM-Norm,0.4345587366369144,,
average,Pr,0.6247776263402065,0.7335352466040754,0.5160200060763378
average,Re,0.6294274874663502,0.7509932623342752,0.5078617125984252
