evaluation,metric,average
EVALUATION_1,ICM-Soft,-0.47564386578276235
EVALUATION_1,ICM-Soft-Norm,0.42323722272044767
EVALUATION_1,CE,0.970508741261708
EVALUATION_2,ICM-Soft,-0.5261508856926942
EVALUATION_2,ICM-Soft-Norm,0.4153096117398023
EVALUATION_2,CE,0.9355857661422361
EVALUATION_3,ICM-Soft,-0.9487279261241681
EVALUATION_3,ICM-Soft-Norm,0.3466694744674822
EVALUATION_3,CE,0.9494248556490413
EVALUATION_4,ICM-Soft,-0.6733485711073504
EVALUATION_4,ICM-Soft-Norm,0.3912919114232637
EVALUATION_4,CE,0.9420397634440165
EVALUATION_5,ICM-Soft,-0.6987804881152675
EVALUATION_5,ICM-Soft-Norm,0.3870913988322053
EVALUATION_5,CE,0.928897728806591
average,CE,0.9452913710607186
average,ICM-Soft,-0.6645303473644486
average,ICM-Soft-Norm,0.39271992383664023
