epoch,step,train_loss,val_loss
0,50,,0.9569764137268066
0,50,0.6884108185768127,
1,101,,0.6895897388458252
1,101,0.7037261724472046,
2,152,,0.6766332983970642
2,152,0.6855718493461609,
3,203,,0.6753494143486023
3,203,0.6486320495605469,
4,254,,0.6634600758552551
4,254,0.5954623818397522,
5,305,,0.7775260806083679
5,305,0.5437161326408386,
6,356,,0.6942786574363708
6,356,0.5348334312438965,
7,407,,0.7453595995903015
7,407,0.5089882016181946,
8,458,,0.6582739353179932
8,458,0.49826371669769287,
9,509,,0.6621918678283691
9,509,0.4694034457206726,
10,510,,0.6523690223693848
