evaluation,metric,average,NO,YES
EVALUATION_1,ICM,-0.4142672881333396,,
EVALUATION_1,ICM-Norm,0.29022342795820977,,
EVALUATION_1,F1,0.3243697478991596,0.0,0.6487394957983192
EVALUATION_1,Pr,0.48009950248756217,,0.48009950248756217
EVALUATION_1,Re,0.5,0.0,1.0
EVALUATION_2,ICM,0.12417677741320043,,
EVALUATION_2,ICM-Norm,0.5628407798293412,,
EVALUATION_2,F1,0.652574218836178,0.6068111455108359,0.6983372921615202
EVALUATION_2,Pr,0.6039776164549304,0.5632183908045977,0.6447368421052632
EVALUATION_2,Re,0.7096880759467261,0.6577181208053692,0.7616580310880829
EVALUATION_3,ICM,0.12021092687976274,,
EVALUATION_3,ICM-Norm,0.5608338253455849,,
EVALUATION_3,F1,0.6523217636022514,0.6219512195121951,0.6826923076923076
EVALUATION_3,Pr,0.6033018513415336,0.5698324022346368,0.6367713004484304
EVALUATION_3,Re,0.7101575268630247,0.6845637583892618,0.7357512953367875
EVALUATION_4,ICM,0.03609275183248299,,
EVALUATION_4,ICM-Norm,0.5182650630704724,,
EVALUATION_4,F1,0.6247040697455939,0.5752508361204014,0.6741573033707865
EVALUATION_4,Pr,0.5842857142857143,0.5733333333333334,0.5952380952380952
EVALUATION_4,Re,0.6771916402962757,0.5771812080536913,0.7772020725388601
EVALUATION_5,ICM,-0.035618153652482346,,
EVALUATION_5,ICM-Norm,0.4819636877211735,,
EVALUATION_5,F1,0.5990351051019008,0.532871972318339,0.6651982378854626
EVALUATION_5,Pr,0.5623216760414119,0.5460992907801419,0.578544061302682
EVALUATION_5,Re,0.6513268449796947,0.5202702702702703,0.7823834196891192
average,F1,0.5706009810370167,0.46737703469235437,0.6738249273816792
average,ICM,-0.03388099713207515,,
average,ICM-Norm,0.4828253567849563,,
average,Pr,0.5667972721222305,0.5631208542881774,0.5870779603164066
average,Re,0.6496728176171442,0.4879466715037185,0.81139896373057
