evaluation,metric,average
EVALUATION_1,ICM-Soft,-1.186813241810983
EVALUATION_1,ICM-Soft-Norm,0.31363265811837904
EVALUATION_1,CE,0.9945999166480194
EVALUATION_2,ICM-Soft,-0.4928405775581235
EVALUATION_2,ICM-Soft-Norm,0.4225476423517635
EVALUATION_2,CE,0.9225628863863176
EVALUATION_3,ICM-Soft,-0.3881412818474542
EVALUATION_3,ICM-Soft-Norm,0.4390016594643152
EVALUATION_3,CE,0.9517596905017459
EVALUATION_4,ICM-Soft,-0.44752323684529727
EVALUATION_4,ICM-Soft-Norm,0.4296640674600609
EVALUATION_4,CE,0.9496836589300126
EVALUATION_5,ICM-Soft,-0.7478476040373983
EVALUATION_5,ICM-Soft-Norm,0.3825645275422388
EVALUATION_5,CE,0.9550112642845485
average,CE,0.9547234833501289
average,ICM-Soft,-0.6526331884198513
average,ICM-Soft-Norm,0.39748211098735153
