epoch,step,train_loss,val_loss
0,50,,0.6906828284263611
0,50,0.6926708817481995,
1,101,,0.6888607740402222
1,101,0.6914719343185425,
2,152,,0.6681181192398071
2,152,0.6868699193000793,
3,203,,0.6459246873855591
3,203,0.6632946133613586,
4,254,,0.6376510262489319
4,254,0.6062712669372559,
5,305,,0.6832264065742493
5,305,0.5568389296531677,
6,356,,0.6657670736312866
6,356,0.530177891254425,
7,407,,0.7029683589935303
7,407,0.5163527131080627,
8,458,,0.6630624532699585
8,458,0.49492865800857544,
9,459,,0.639451801776886
