evaluation,metric,average,NO,YES
EVALUATION_1,ICM,0.14544895492236617,,
EVALUATION_1,ICM-Norm,0.5736524076234908,,
EVALUATION_1,F1,0.6587413626569583,0.6198083067092651,0.6976744186046513
EVALUATION_1,Pr,0.6103950901419256,0.5878787878787879,0.6329113924050633
EVALUATION_1,Re,0.7163037389721327,0.6554054054054054,0.7772020725388601
EVALUATION_2,ICM,0.06941994422615985,,
EVALUATION_2,ICM-Norm,0.535130589807185,,
EVALUATION_2,F1,0.6336928337905379,0.5752508361204014,0.6921348314606742
EVALUATION_2,Pr,0.5922222222222222,0.5733333333333334,0.6111111111111112
EVALUATION_2,Re,0.6875543345967938,0.5771812080536913,0.7979274611398963
EVALUATION_3,ICM,0.09452414272480353,,
EVALUATION_3,ICM-Norm,0.5478347962096104,,
EVALUATION_3,F1,0.6439158810732415,0.6228571428571429,0.66497461928934
EVALUATION_3,Pr,0.5970149253731343,0.5422885572139303,0.6517412935323383
EVALUATION_3,Re,0.7051500504225059,0.7315436241610739,0.6787564766839378
EVALUATION_4,ICM,0.026378174014660638,,
EVALUATION_4,ICM-Norm,0.5133489132194142,,
EVALUATION_4,F1,0.6233803124658581,0.5899705014749262,0.6567901234567901
EVALUATION_4,Pr,0.576837140019861,0.5263157894736842,0.6273584905660378
EVALUATION_4,Re,0.6801300552908858,0.6711409395973155,0.689119170984456
EVALUATION_5,ICM,0.0693503378753467,,
EVALUATION_5,ICM-Norm,0.5351176078009509,,
EVALUATION_5,F1,0.6347974197289266,0.6082191780821918,0.6613756613756614
EVALUATION_5,Pr,0.5935982065014322,0.511520737327189,0.6756756756756757
EVALUATION_5,Re,0.6988341968911918,0.75,0.6476683937823834
average,F1,0.6389055619431044,0.6032211930487855,0.6745899308374235
average,ICM,0.08102431075266739,,
average,ICM-Norm,0.5410168629321302,,
average,Pr,0.594013516851715,0.5482674410453849,0.6397595926580453
average,Re,0.6975944752347021,0.6770542354434972,0.7181347150259068
