evaluation,metric,average
EVALUATION_1,ICM-Soft,-0.48858310837318747
EVALUATION_1,ICM-Soft-Norm,0.423276947047855
EVALUATION_1,CE,0.9231837157204582
EVALUATION_2,ICM-Soft,-0.5954107124410678
EVALUATION_2,ICM-Soft-Norm,0.406428233494759
EVALUATION_2,CE,0.9298742384130746
EVALUATION_3,ICM-Soft,-0.7417083229836088
EVALUATION_3,ICM-Soft-Norm,0.3834368334948534
EVALUATION_3,CE,0.9453945031231957
EVALUATION_4,ICM-Soft,-0.6956021343208874
EVALUATION_4,ICM-Soft-Norm,0.3906742247863554
EVALUATION_4,CE,0.9480025181180908
EVALUATION_5,ICM-Soft,-0.6689014827094907
EVALUATION_5,ICM-Soft-Norm,0.3949615386535921
EVALUATION_5,CE,0.9447171754702743
average,CE,0.9382344301690188
average,ICM-Soft,-0.6380411521656484
average,ICM-Soft-Norm,0.399755555495483
