evaluation,metric,average,YES,NO
EVALUATION_1,ICM,-0.08489308721111906,,
EVALUATION_1,ICM-Norm,0.4555018066901055,,
EVALUATION_1,F1,0.5891082028177071,0.6075949367088607,0.5706214689265536
EVALUATION_1,Pr,0.5549430401408106,0.6629834254143646,0.4469026548672566
EVALUATION_1,Re,0.674905081775701,0.5607476635514018,0.7890625
EVALUATION_2,ICM,0.005302002999548701,,
EVALUATION_2,ICM-Norm,0.5027815072906344,,
EVALUATION_2,F1,0.6111243029910995,0.7201565557729941,0.502092050209205
EVALUATION_2,Pr,0.5810810810810811,0.6216216216216216,0.5405405405405406
EVALUATION_2,Re,0.6622819767441861,0.8558139534883721,0.46875
EVALUATION_3,ICM,-0.35975928083780867,,
EVALUATION_3,ICM-Norm,0.31126508932399494,,
EVALUATION_3,F1,0.34565916398713825,0.6913183279742765,0.0
EVALUATION_3,Pr,0.5282555282555282,0.5282555282555282,
EVALUATION_3,Re,0.5,1.0,0.0
EVALUATION_4,ICM,-0.13178951972588113,,
EVALUATION_4,ICM-Norm,0.4308613160011528,,
EVALUATION_4,F1,0.5798414168306517,0.6320754716981133,0.5276073619631901
EVALUATION_4,Pr,0.537745879851143,0.6411483253588517,0.43434343434343436
EVALUATION_4,Re,0.6475654069767443,0.6232558139534884,0.671875
EVALUATION_5,ICM,-0.26703934625000414,,
EVALUATION_5,ICM-Norm,0.3598252030215009,,
EVALUATION_5,F1,0.4492082335234139,0.6996587030716724,0.19875776397515527
EVALUATION_5,Pr,0.5108317520556609,0.5510752688172043,0.47058823529411764
EVALUATION_5,Re,0.5419640886010744,0.9579439252336449,0.12598425196850394
average,F1,0.5149882640300021,0.6701607990451833,0.35981572901482084
average,ICM,-0.16763584620505284,,
average,ICM-Norm,0.4120469844654777,,
average,Pr,0.5425714562768448,0.601016833893514,0.4730937162613373
average,Re,0.6053433108195412,0.7995522712453814,0.4111343503937007
