evaluation,metric,average
EVALUATION_1,ICM-Soft,-0.8974347987252963
EVALUATION_1,ICM-Soft-Norm,0.35915558778720846
EVALUATION_1,CE,0.9497821249977841
EVALUATION_2,ICM-Soft,-0.6959810070691064
EVALUATION_2,ICM-Soft-Norm,0.39070875161750845
EVALUATION_2,CE,0.9425117947257936
EVALUATION_3,ICM-Soft,-1.0147258610873042
EVALUATION_3,ICM-Soft-Norm,0.34065562853323883
EVALUATION_3,CE,0.9632886953074397
EVALUATION_4,ICM-Soft,-0.9296031390944204
EVALUATION_4,ICM-Soft-Norm,0.3540226147840494
EVALUATION_4,CE,0.9575576200249377
EVALUATION_5,ICM-Soft,-0.8911650850993986
EVALUATION_5,ICM-Soft-Norm,0.360163770114018
EVALUATION_5,CE,0.9470474883783778
average,CE,0.9520375446868666
average,ICM-Soft,-0.8857819782151053
average,ICM-Soft-Norm,0.36094127056720465
