evaluation,metric,average,NO,YES
EVALUATION_1,ICM,0.18236126806992972,,
EVALUATION_1,ICM-Norm,0.5923440560834017,,
EVALUATION_1,F1,0.6692869378393288,0.6460674157303371,0.6925064599483205
EVALUATION_1,Pr,0.6218031324345757,0.5528846153846154,0.6907216494845361
EVALUATION_1,Re,0.735663772580871,0.777027027027027,0.694300518134715
EVALUATION_2,ICM,0.06654558058396752,,
EVALUATION_2,ICM-Norm,0.5336759921235341,,
EVALUATION_2,F1,0.6350897069894678,0.5928338762214984,0.6773455377574371
EVALUATION_2,Pr,0.591253372068894,0.5759493670886076,0.6065573770491803
EVALUATION_2,Re,0.6887888166359495,0.610738255033557,0.7668393782383419
EVALUATION_3,ICM,0.02546917574818699,,
EVALUATION_3,ICM-Norm,0.5128889064361922,,
EVALUATION_3,F1,0.6068997731215802,0.516949152542373,0.6968503937007875
EVALUATION_3,Pr,0.6315270935960591,0.7011494252873564,0.5619047619047619
EVALUATION_3,Re,0.6632472093751087,0.40939597315436244,0.917098445595855
EVALUATION_4,ICM,0.028452343593765354,,
EVALUATION_4,ICM-Norm,0.5143985654697342,,
EVALUATION_4,F1,0.6197159347861079,0.558303886925795,0.6811279826464208
EVALUATION_4,Pr,0.5876865671641791,0.5895522388059702,0.585820895522388
EVALUATION_4,Re,0.6718364224362764,0.5302013422818792,0.8134715025906736
EVALUATION_5,ICM,-0.2670757104472392,,
EVALUATION_5,ICM-Norm,0.36475826448740867,,
EVALUATION_5,F1,0.4663382594417077,0.2660098522167488,0.6666666666666666
EVALUATION_5,Pr,0.5048205396908567,0.4909090909090909,0.5187319884726225
EVALUATION_5,Re,0.5575374597395323,0.18243243243243243,0.9326424870466321
average,F1,0.5994661224356385,0.5160328367273505,0.6828994081439265
average,ICM,0.00715053150972208,,
average,ICM-Norm,0.5036131569200542,,
average,Pr,0.5874181409909129,0.5820889474951281,0.5927473344866978
average,Re,0.6634147361535476,0.5019590059858516,0.8248704663212436
