evaluation,metric,average
EVALUATION_1,ICM-Soft,-0.6915130957408478
EVALUATION_1,ICM-Soft-Norm,0.391410499150735
EVALUATION_1,CE,0.9405915731329632
EVALUATION_2,ICM-Soft,-0.5397085348628781
EVALUATION_2,ICM-Soft-Norm,0.41518210883706014
EVALUATION_2,CE,0.9297890231560622
EVALUATION_3,ICM-Soft,-0.5866259675802957
EVALUATION_3,ICM-Soft-Norm,0.40780880001421277
EVALUATION_3,CE,0.9549723167461243
EVALUATION_4,ICM-Soft,-0.590225500029856
EVALUATION_4,ICM-Soft-Norm,0.4072359655643923
EVALUATION_4,CE,0.9580331208063891
EVALUATION_5,ICM-Soft,-0.8554837746030026
EVALUATION_5,ICM-Soft-Norm,0.3656622810475321
EVALUATION_5,CE,0.966692873744455
average,CE,0.9500157815171988
average,ICM-Soft,-0.6527113745633761
average,ICM-Soft-Norm,0.3974599309227865
