epoch,step,train_loss,val_loss
0,50,,0.6610774993896484
0,50,0.6787149310112,
1,101,,0.6590505242347717
1,101,0.6692323684692383,
2,152,,0.6591061353683472
2,152,0.6562469005584717,
3,203,,0.654715359210968
3,203,0.6488624811172485,
4,254,,0.6635674238204956
4,254,0.6202490925788879,
5,305,,0.6522445678710938
5,305,0.5822454690933228,
6,356,,0.6875086426734924
6,356,0.543354332447052,
7,407,,0.6785562038421631
7,407,0.5169724822044373,
8,458,,0.6604592204093933
8,458,0.5046833157539368,
9,509,,0.6703028082847595
9,509,0.4899557828903198,
10,510,,0.6530857682228088
