evaluation,metric,average,YES,NO
EVALUATION_1,ICM,0.048260847676449024,,
EVALUATION_1,ICM-Norm,0.5252967656113786,,
EVALUATION_1,F1,0.628887830435818,0.7165991902834007,0.5411764705882353
EVALUATION_1,Pr,0.5877249718785151,0.6321428571428571,0.5433070866141733
EVALUATION_1,Re,0.6830826518691588,0.8271028037383178,0.5390625
EVALUATION_2,ICM,0.1763698166383704,,
EVALUATION_2,ICM-Norm,0.5925261511299084,,
EVALUATION_2,F1,0.6722416651317,0.7280898876404494,0.6163934426229508
EVALUATION_2,Pr,0.6177106362073201,0.7043478260869566,0.5310734463276836
EVALUATION_2,Re,0.7439316860465116,0.7534883720930232,0.734375
EVALUATION_3,ICM,-0.1677595102183987,,
EVALUATION_3,ICM-Norm,0.4119909398796187,,
EVALUATION_3,F1,0.5543711599674293,0.6783625730994153,0.4303797468354431
EVALUATION_3,Pr,0.5258912628532726,0.5838926174496645,0.46788990825688076
EVALUATION_3,Re,0.6038699127906977,0.8093023255813954,0.3984375
EVALUATION_4,ICM,-0.011310901093011095,,
EVALUATION_4,ICM-Norm,0.4940661380507456,,
EVALUATION_4,F1,0.6158757498366692,0.6814159292035398,0.5503355704697986
EVALUATION_4,Pr,0.5660709853561677,0.6497890295358649,0.4823529411764706
EVALUATION_4,Re,0.6784520348837209,0.7162790697674418,0.640625
EVALUATION_5,ICM,0.013800807921060016,,
EVALUATION_5,ICM-Norm,0.5072443461071939,,
EVALUATION_5,F1,0.6216608372917081,0.6952789699570816,0.5480427046263345
EVALUATION_5,Pr,0.5714285714285714,0.6428571428571429,0.5
EVALUATION_5,Re,0.6816542791964089,0.7570093457943925,0.6062992125984252
average,F1,0.6186074485326649,0.6999493100367774,0.5372655870285524
average,ICM,0.011872212184893932,,
average,ICM-Norm,0.5062248681557691,,
average,Pr,0.5737652855447694,0.6426058946144971,0.5049246764750416
average,Re,0.6781981129572996,0.7726363833949141,0.583759842519685
