evaluation,metric,average
EVALUATION_1,ICM-Soft,-0.5046578054621046
EVALUATION_1,ICM-Soft-Norm,0.420798444544533
EVALUATION_1,CE,0.9409092612621985
EVALUATION_2,ICM-Soft,-0.43653987274595923
EVALUATION_2,ICM-Soft-Norm,0.431449296494376
EVALUATION_2,CE,0.9336439779533185
EVALUATION_3,ICM-Soft,-0.9691358781418217
EVALUATION_3,ICM-Soft-Norm,0.34781471204161046
EVALUATION_3,CE,0.9566244283940213
EVALUATION_4,ICM-Soft,-0.5972596629856358
EVALUATION_4,ICM-Soft-Norm,0.40621115588902135
EVALUATION_4,CE,0.9365949752633189
EVALUATION_5,ICM-Soft,-0.7362998866421688
EVALUATION_5,ICM-Soft-Norm,0.38446427947518536
EVALUATION_5,CE,0.9392024192427278
average,CE,0.9413950124231171
average,ICM-Soft,-0.648778621195538
average,ICM-Soft-Norm,0.39814757768894526
