evaluation,metric,average,NO,YES
EVALUATION_1,ICM,0.07963913238749147,,
EVALUATION_1,ICM-Norm,0.5403276451488803,,
EVALUATION_1,F1,0.6356898343419524,0.5783972125435539,0.6929824561403508
EVALUATION_1,Pr,0.5989413792160188,0.5971223021582733,0.6007604562737643
EVALUATION_1,Re,0.6897318302758717,0.5608108108108109,0.8186528497409327
EVALUATION_2,ICM,0.10573030446541506,,
EVALUATION_2,ICM-Norm,0.5535057755774395,,
EVALUATION_2,F1,0.64759378552482,0.6153846153846154,0.6798029556650247
EVALUATION_2,Pr,0.5990759371041061,0.5502645502645502,0.647887323943662
EVALUATION_2,Re,0.7065062419584797,0.697986577181208,0.7150259067357513
EVALUATION_3,ICM,0.05304764085747919,,
EVALUATION_3,ICM-Norm,0.5268452378056032,,
EVALUATION_3,F1,0.6240346445326597,0.5568627450980392,0.6912065439672802
EVALUATION_3,Pr,0.6203786333503314,0.6698113207547169,0.5709459459459459
EVALUATION_3,Re,0.6760788677539382,0.47651006711409394,0.8756476683937824
EVALUATION_4,ICM,0.012880234288172306,,
EVALUATION_4,ICM-Norm,0.5065181589014833,,
EVALUATION_4,F1,0.6145009572962623,0.5460750853242321,0.6829268292682926
EVALUATION_4,Pr,0.5762273901808785,0.5555555555555556,0.5968992248062015
EVALUATION_4,Re,0.6674201064088743,0.5369127516778524,0.7979274611398963
EVALUATION_5,ICM,0.08267591464630689,,
EVALUATION_5,ICM-Norm,0.5418654102356728,,
EVALUATION_5,F1,0.6393602326426755,0.6171428571428572,0.6615776081424937
EVALUATION_5,Pr,0.5923267326732673,0.5346534653465347,0.65
EVALUATION_5,Re,0.7016524296317042,0.7297297297297297,0.6735751295336787
average,F1,0.632235890867674,0.5827725030986596,0.6816992786366883
average,ICM,0.06679464532897299,,
average,ICM-Norm,0.5338124455338159,,
average,Pr,0.5973900145049205,0.5814814388159262,0.6132985901939147
average,Re,0.6882778952057735,0.600389987302739,0.7761658031088083
