evaluation,metric,average,NO,YES
EVALUATION_1,ICM,0.3240089169274287,,
EVALUATION_1,ICM-Norm,0.6628573152847866,,
EVALUATION_1,F1,0.7210466401562963,0.7424094025465231,0.6996838777660696
EVALUATION_1,Pr,0.6748487685438571,0.7232824427480916,0.6264150943396226
EVALUATION_1,Re,0.7774691106063589,0.7625754527162978,0.7923627684964201
EVALUATION_2,ICM,0.3383438928821617,,
EVALUATION_2,ICM-Norm,0.6699730163004882,,
EVALUATION_2,F1,0.7253944882993905,0.7509960159362551,0.6997929606625258
EVALUATION_2,Pr,0.6804257313314468,0.7406679764243614,0.6201834862385321
EVALUATION_2,Re,0.7822332589553492,0.7616161616161616,0.8028503562945368
EVALUATION_3,ICM,0.1783364974322047,,
EVALUATION_3,ICM-Norm,0.5895799864966129,,
EVALUATION_3,F1,0.6726172280344951,0.6748329621380846,0.6704014939309056
EVALUATION_3,Pr,0.6511538461538462,0.75,0.5523076923076923
EVALUATION_3,Re,0.7330459576677854,0.6133603238866396,0.8527315914489311
EVALUATION_4,ICM,-0.06697425390747987,,
EVALUATION_4,ICM-Norm,0.4663582449636619,,
EVALUATION_4,F1,0.5797494709536487,0.6770428015564203,0.4824561403508772
EVALUATION_4,Pr,0.5886566073651777,0.549936788874842,0.6273764258555133
EVALUATION_4,Re,0.6362453960591228,0.8805668016194332,0.3919239904988123
EVALUATION_5,ICM,0.3222333866856103,,
EVALUATION_5,ICM-Norm,0.6619216734148085,,
EVALUATION_5,F1,0.7205153975003222,0.749748743718593,0.6912820512820513
EVALUATION_5,Pr,0.6773510985935836,0.7474949899799599,0.6072072072072072
EVALUATION_5,Re,0.7771985407066053,0.7520161290322581,0.8023809523809524
average,F1,0.6838646449888305,0.7190059851791752,0.6487233047984858
average,ICM,0.2191896880039851,,
average,ICM-Norm,0.6101380472920717,,
average,Pr,0.6544872103975823,0.7022764396054509,0.6066979811897135
average,Re,0.7412384527990443,0.7540269737741581,0.7284499318239306
