evaluation,metric,average
EVALUATION_1,ICM-Soft,0.023692411256340116
EVALUATION_1,ICM-Soft-Norm,0.5037762249721844
EVALUATION_1,CE,0.8551805331645015
EVALUATION_2,ICM-Soft,0.012816945182079402
EVALUATION_2,ICM-Soft-Norm,0.502042475727738
EVALUATION_2,CE,0.8563195668171523
EVALUATION_3,ICM-Soft,-0.15342422433590622
EVALUATION_3,ICM-Soft-Norm,0.47556063307749874
EVALUATION_3,CE,0.8813065795834121
EVALUATION_4,ICM-Soft,-0.6234841448368341
EVALUATION_4,ICM-Soft-Norm,0.400683494722005
EVALUATION_4,CE,0.9527316241495764
EVALUATION_5,ICM-Soft,0.11444516184463642
EVALUATION_5,ICM-Soft-Norm,0.5182381332410549
EVALUATION_5,CE,0.8766359876728366
average,CE,0.8844348582774957
average,ICM-Soft,-0.1251907701779369
average,ICM-Soft-Norm,0.4800601923480962
