evaluation,metric,average,YES,NO
EVALUATION_1,ICM,-0.04233439031906485,,
EVALUATION_1,ICM-Norm,0.47780969044759236,,
EVALUATION_1,F1,0.6058056958781756,0.6574712643678161,0.554140127388535
EVALUATION_1,Pr,0.5574003795066413,0.6470588235294118,0.46774193548387094
EVALUATION_1,Re,0.6739558995327103,0.6682242990654206,0.6796875
EVALUATION_2,ICM,-0.13522732698256032,,
EVALUATION_2,ICM-Norm,0.42905779270079575,,
EVALUATION_2,F1,0.5471159337521416,0.7058823529411764,0.3883495145631068
EVALUATION_2,Pr,0.5482035694801652,0.5835866261398176,0.5128205128205128
EVALUATION_2,Re,0.6027616279069767,0.8930232558139535,0.3125
EVALUATION_3,ICM,-0.228836477531824,,
EVALUATION_3,ICM-Norm,0.37994908138074784,,
EVALUATION_3,F1,0.48377109452178957,0.6953528399311532,0.27218934911242604
EVALUATION_3,Pr,0.5564440890310542,0.5519125683060109,0.5609756097560976
EVALUATION_3,Re,0.5596111918604652,0.9395348837209302,0.1796875
EVALUATION_4,ICM,-0.22252372506466983,,
EVALUATION_4,ICM-Norm,0.3832608424289506,,
EVALUATION_4,F1,0.5196851798972015,0.6801470588235293,0.35922330097087374
EVALUATION_4,Pr,0.5183345023770556,0.5623100303951368,0.47435897435897434
EVALUATION_4,Re,0.5747638081395349,0.8604651162790697,0.2890625
EVALUATION_5,ICM,-0.10265074041462587,,
EVALUATION_5,ICM-Norm,0.4461163798542194,,
EVALUATION_5,F1,0.5705671530243066,0.6986564299424185,0.4424778761061947
EVALUATION_5,Pr,0.5489421906360017,0.5928338762214984,0.5050505050505051
EVALUATION_5,Re,0.6220840385606005,0.8504672897196262,0.3937007874015748
average,F1,0.545389011414723,0.6875019892012186,0.4032760336282273
average,ICM,-0.146314532062549,,
average,ICM-Norm,0.4232387573624612,,
average,Pr,0.5458649462061836,0.5875403849183751,0.5041895074939922
average,Re,0.6066353132000575,0.8423429689198001,0.370927657480315
