evaluation,metric,average,YES,NO
EVALUATION_1,ICM,0.3070372282407968,,
EVALUATION_1,ICM-Norm,0.6541348608681831,,
EVALUATION_1,F1,0.7126035005109577,0.7335581787521078,0.6916488222698074
EVALUATION_1,Pr,0.666503856853819,0.6600910470409712,0.6729166666666667
EVALUATION_1,Re,0.7684403447324646,0.825426944971537,0.711453744493392
EVALUATION_2,ICM,0.33817836187230876,,
EVALUATION_2,ICM-Norm,0.669767930275018,,
EVALUATION_2,F1,0.722509672973502,0.724534986713906,0.720484359233098
EVALUATION_2,Pr,0.6721032313146124,0.6794019933554817,0.664804469273743
EVALUATION_2,Re,0.7812173469643648,0.7760910815939279,0.7863436123348018
EVALUATION_3,ICM,0.37312993837325426,,
EVALUATION_3,ICM-Norm,0.6872919037880205,,
EVALUATION_3,F1,0.7326660794832787,0.7329650092081031,0.7323671497584541
EVALUATION_3,Pr,0.6827169822959719,0.7119856887298748,0.653448275862069
EVALUATION_3,Re,0.7940926246429093,0.7552182163187856,0.832967032967033
EVALUATION_4,ICM,0.291941056869865,,
EVALUATION_4,ICM-Norm,0.6465079899180624,,
EVALUATION_4,F1,0.7084135843716836,0.7184466019417476,0.6983805668016195
EVALUATION_4,Pr,0.6595034745017403,0.6705107084019769,0.6484962406015038
EVALUATION_4,Re,0.765171602961777,0.7737642585551331,0.756578947368421
EVALUATION_5,ICM,0.38183197910737854,,
EVALUATION_5,ICM-Norm,0.6916629315588564,,
EVALUATION_5,F1,0.7353962865761987,0.7575496117342536,0.7132429614181439
EVALUATION_5,Pr,0.6853753147826631,0.693522906793049,0.6772277227722773
EVALUATION_5,Re,0.7939523626069915,0.8346007604562737,0.7533039647577092
average,F1,0.7223178247831241,0.7334108776700237,0.7112247718962246
average,ICM,0.33842371289272066,,
average,ICM-Norm,0.6698731232816281,,
average,Pr,0.6732405719497614,0.6831024688642706,0.6633786750352519
average,Re,0.7805748563817014,0.7930202523791314,0.7681294603842714
