evaluation,metric,average,NO,YES
EVALUATION_1,ICM,-0.4202159292560873,,
EVALUATION_1,ICM-Norm,0.28721115646397777,,
EVALUATION_1,F1,0.4030052606051562,0.17346938775510207,0.6325411334552103
EVALUATION_1,Pr,0.421433615819209,0.3541666666666667,0.4887005649717514
EVALUATION_1,Re,0.5056189609298417,0.11486486486486487,0.8963730569948186
EVALUATION_2,ICM,-0.10049047841596055,,
EVALUATION_2,ICM-Norm,0.44914588572330555,,
EVALUATION_2,F1,0.5829358613538735,0.5286624203821656,0.6372093023255814
EVALUATION_2,Pr,0.5405446873801305,0.503030303030303,0.5780590717299579
EVALUATION_2,Re,0.6334457697256319,0.5570469798657718,0.7098445595854922
EVALUATION_3,ICM,-0.41167649148166413,,
EVALUATION_3,ICM-Norm,0.29166739304216455,,
EVALUATION_3,F1,0.3482341557813256,0.050314465408805034,0.6461538461538462
EVALUATION_3,Pr,0.44107142857142856,0.4,0.48214285714285715
EVALUATION_3,Re,0.5030601244914282,0.026845637583892617,0.9792746113989638
EVALUATION_4,ICM,-0.34313042573997743,,
EVALUATION_4,ICM-Norm,0.3263557487490262,,
EVALUATION_4,F1,0.4318259547786434,0.22105263157894736,0.6425992779783394
EVALUATION_4,Pr,0.5026349570974934,0.5121951219512195,0.4930747922437673
EVALUATION_4,Re,0.531609695030775,0.14093959731543623,0.9222797927461139
EVALUATION_5,ICM,-0.4014270211730348,,
EVALUATION_5,ICM-Norm,0.2967254793250249,,
EVALUATION_5,F1,0.34893570331358353,0.05161290322580645,0.6462585034013606
EVALUATION_5,Pr,0.5262206148282098,0.5714285714285714,0.4810126582278481
EVALUATION_5,Re,0.5057414927881249,0.02702702702702703,0.9844559585492227
average,F1,0.42298738716651646,0.20502236167016533,0.6409524126628676
average,ICM,-0.33538806921334485,,
average,ICM-Norm,0.3302211326606998,,
average,Pr,0.4863810607392942,0.4681641326153521,0.5045979888632364
average,Re,0.5358952085931603,0.17334482133139853,0.8984455958549222
