evaluation,metric,average,YES,NO
EVALUATION_1,ICM,-0.08250074851414974,,
EVALUATION_1,ICM-Norm,0.45675579277186673,,
EVALUATION_1,F1,0.587285107204945,0.6826347305389222,0.49193548387096775
EVALUATION_1,Pr,0.5520760743321719,0.5958188153310104,0.5083333333333333
EVALUATION_1,Re,0.6378139602803738,0.7990654205607477,0.4765625
EVALUATION_2,ICM,0.07969810019656366,,
EVALUATION_2,ICM-Norm,0.541810773544511,,
EVALUATION_2,F1,0.6427286356821589,0.7130434782608696,0.5724137931034483
EVALUATION_2,Pr,0.5908667170571933,0.6693877551020408,0.5123456790123457
EVALUATION_2,Re,0.7056140988372093,0.7627906976744186,0.6484375
EVALUATION_3,ICM,-0.1191204271572137,,
EVALUATION_3,ICM-Norm,0.4375077047995879,,
EVALUATION_3,F1,0.582796095045128,0.6606741573033708,0.5049180327868852
EVALUATION_3,Pr,0.5370793416850896,0.6391304347826087,0.4350282485875706
EVALUATION_3,Re,0.6426417151162791,0.6837209302325581,0.6015625
EVALUATION_4,ICM,-0.11146401242585603,,
EVALUATION_4,ICM-Norm,0.4415243704629616,,
EVALUATION_4,F1,0.5788543361281442,0.6844262295081968,0.4732824427480916
EVALUATION_4,Pr,0.5372040894428954,0.6117216117216118,0.4626865671641791
EVALUATION_4,Re,0.6305595930232558,0.7767441860465116,0.484375
EVALUATION_5,ICM,0.13403795923274436,,
EVALUATION_5,ICM-Norm,0.570359458209848,,
EVALUATION_5,F1,0.6584381411114084,0.7162162162162162,0.6006600660066007
EVALUATION_5,Pr,0.6041749011857708,0.691304347826087,0.5170454545454546
EVALUATION_5,Re,0.7297630436382367,0.7429906542056075,0.7165354330708661
average,F1,0.6100204630343569,0.6913989623655151,0.5286419637031987
average,ICM,-0.019869825733582293,,
average,ICM-Norm,0.4895916199577551,,
average,Pr,0.5642802247406242,0.6414725929526718,0.48708785652857667
average,Re,0.6692784821790709,0.7530623777439687,0.5854945866141732
