evaluation,metric,average,YES,NO
EVALUATION_1,ICM,-0.3509833994460988,,
EVALUATION_1,ICM-Norm,0.31602592542928754,,
EVALUATION_1,F1,0.505359355638166,0.6166666666666666,0.3940520446096654
EVALUATION_1,Pr,0.466138751133152,0.556390977443609,0.375886524822695
EVALUATION_1,Re,0.5528256425233644,0.6915887850467289,0.4140625
EVALUATION_2,ICM,-0.500794615087131,,
EVALUATION_2,ICM-Norm,0.23727591759305974,,
EVALUATION_2,F1,0.45195065978198506,0.5943775100401606,0.30952380952380953
EVALUATION_2,Pr,0.4187421634560584,0.5229681978798587,0.31451612903225806
EVALUATION_2,Re,0.49652979651162793,0.6883720930232559,0.3046875
EVALUATION_3,ICM,-0.3423523063826176,,
EVALUATION_3,ICM-Norm,0.32039703933592834,,
EVALUATION_3,F1,0.49979720218544466,0.6438631790744467,0.3557312252964427
EVALUATION_3,Pr,0.46368794326241136,0.5673758865248227,0.36
EVALUATION_3,Re,0.547874273255814,0.7441860465116279,0.3515625
EVALUATION_4,ICM,-0.38207848771695946,,
EVALUATION_4,ICM-Norm,0.29955611129044446,,
EVALUATION_4,F1,0.4939525882922109,0.6289308176100629,0.358974358974359
EVALUATION_4,Pr,0.4552250592261121,0.5725190839694656,0.33793103448275863
EVALUATION_4,Re,0.5402434593023255,0.6976744186046512,0.3828125
EVALUATION_5,ICM,-0.2775274037288246,,
EVALUATION_5,ICM-Norm,0.35431979212068143,,
EVALUATION_5,F1,0.5047997901731072,0.6654135338345865,0.34418604651162793
EVALUATION_5,Pr,0.48852915951972553,0.5566037735849056,0.42045454545454547
EVALUATION_5,Re,0.5592206932077416,0.8271028037383178,0.29133858267716534
average,F1,0.49117191921418274,0.6298503414451846,0.3524934969831809
average,ICM,-0.37074724247232627,,
average,ICM-Norm,0.30551495715388033,,
average,Pr,0.4584646153194919,0.5551715838805323,0.36175764675845146
average,Re,0.5393387729601746,0.7297848293849164,0.3488927165354331
