evaluation,metric,average
EVALUATION_1,ICM-Soft,-1.1330779493432175
EVALUATION_1,ICM-Soft-Norm,0.3221734904940205
EVALUATION_1,CE,0.9944737288708219
EVALUATION_2,ICM-Soft,-1.2467653295482057
EVALUATION_2,ICM-Soft-Norm,0.3042180204311206
EVALUATION_2,CE,1.0185542190443375
EVALUATION_3,ICM-Soft,-1.1387304379790903
EVALUATION_3,ICM-Soft-Norm,0.32118294914114115
EVALUATION_3,CE,1.0215439262657335
EVALUATION_4,ICM-Soft,-1.158841973430356
EVALUATION_4,ICM-Soft-Norm,0.3180247956943772
EVALUATION_4,CE,1.0056472563255945
EVALUATION_5,ICM-Soft,-1.0479061331359119
EVALUATION_5,ICM-Soft-Norm,0.3355689137935879
EVALUATION_5,CE,0.9888432076372589
average,CE,1.0058124676287492
average,ICM-Soft,-1.1450643646873562
average,ICM-Soft-Norm,0.32023363391084947
