epoch,step,train_loss,val_loss
0,50,,0.6983127593994141
0,50,0.6944593787193298,
1,101,,0.7336178421974182
1,101,0.6952062249183655,
2,152,,0.6901815533638
2,152,0.693763017654419,
3,203,,0.6902650594711304
3,203,0.6919108629226685,
4,254,,0.6938409209251404
4,254,0.6893479228019714,
5,305,,0.6873111724853516
5,305,0.6894436478614807,
6,356,,0.6856353878974915
6,356,0.668312668800354,
7,407,,0.6811062097549438
7,407,0.6222306489944458,
8,458,,0.6977843642234802
8,458,0.5662389397621155,
9,509,,0.6750704050064087
9,509,0.537970781326294,
10,510,,0.6777034997940063
