evaluation,metric,average,NO,YES
EVALUATION_1,ICM,0.14544895492236617,,
EVALUATION_1,ICM-Norm,0.5736524076234908,,
EVALUATION_1,F1,0.6584037976561341,0.6158730158730159,0.7009345794392523
EVALUATION_1,Pr,0.6095680978468595,0.5808383233532934,0.6382978723404256
EVALUATION_1,Re,0.7163037389721327,0.6554054054054054,0.7772020725388601
EVALUATION_2,ICM,-0.4160424390466456,,
EVALUATION_2,ICM-Norm,0.2894579658417427,,
EVALUATION_2,F1,0.3243697478991596,0.0,0.6487394957983192
EVALUATION_2,Pr,0.48009950248756217,,0.48009950248756217
EVALUATION_2,Re,0.5,0.0,1.0
EVALUATION_3,ICM,-0.4160424390466456,,
EVALUATION_3,ICM-Norm,0.2894579658417427,,
EVALUATION_3,F1,0.3243697478991596,0.0,0.6487394957983192
EVALUATION_3,Pr,0.48009950248756217,,0.48009950248756217
EVALUATION_3,Re,0.5,0.0,1.0
EVALUATION_4,ICM,-0.07629527818379052,,
EVALUATION_4,ICM-Norm,0.461390085342509,,
EVALUATION_4,F1,0.5814814814814815,0.49629629629629635,0.6666666666666666
EVALUATION_4,Pr,0.5579982941678185,0.5537190082644629,0.5622775800711743
EVALUATION_4,Re,0.634158639635567,0.44966442953020136,0.8186528497409327
EVALUATION_5,ICM,-0.01907560141482058,,
EVALUATION_5,ICM-Norm,0.49034050143696456,,
EVALUATION_5,F1,0.5928275862068966,0.496,0.6896551724137931
EVALUATION_5,Pr,0.5872549019607842,0.6078431372549019,0.5666666666666667
EVALUATION_5,Re,0.6498739672314802,0.4189189189189189,0.8808290155440415
average,F1,0.49629047222856626,0.3216338624338625,0.6709470820232701
average,ICM,-0.15640136055390724,,
average,ICM-Norm,0.42085978521728995,,
average,Pr,0.5430040597901173,0.5808001562908861,0.5454882248106782
average,Re,0.6000672691678359,0.3047977507709051,0.8953367875647669
