evaluation,metric,average
EVALUATION_1,ICM-Soft,-0.44673507827351516
EVALUATION_1,ICM-Soft-Norm,0.4298484157995494
EVALUATION_1,CE,0.9707729089315231
EVALUATION_2,ICM-Soft,-1.0663483885648941
EVALUATION_2,ICM-Soft-Norm,0.3324180261739743
EVALUATION_2,CE,0.9946807367181403
EVALUATION_3,ICM-Soft,-1.1121894438555022
EVALUATION_3,ICM-Soft-Norm,0.32521387543839086
EVALUATION_3,CE,0.9835629983572983
EVALUATION_4,ICM-Soft,-0.8968535844946384
EVALUATION_4,ICM-Soft-Norm,0.3590441165426596
EVALUATION_4,CE,0.9626469593113142
EVALUATION_5,ICM-Soft,-0.6979829704164305
EVALUATION_5,ICM-Soft-Norm,0.39039483518325746
EVALUATION_5,CE,0.9513162100014423
average,CE,0.9725959626639437
average,ICM-Soft,-0.8440218931209961
average,ICM-Soft-Norm,0.36738385382756633
