epoch,step,train_loss,val_loss
0,50,,0.6811063289642334
0,50,0.6847744584083557,
1,101,,0.6721188426017761
1,101,0.6766514778137207,
2,152,,0.7120683789253235
2,152,0.6324931979179382,
3,203,,0.6889406442642212
3,203,0.5633328557014465,
4,254,,0.6636271476745605
4,254,0.5206224918365479,
5,305,,0.6774418354034424
5,305,0.4909074604511261,
6,356,,0.6616255044937134
6,356,0.4637759327888489,
7,407,,0.6643499135971069
7,407,0.45853808522224426,
8,458,,0.6528412699699402
8,458,0.4558537006378174,
9,509,,0.6825110912322998
9,509,0.45640885829925537,
10,510,,0.6524208784103394
