evaluation,metric,average,YES,NO
EVALUATION_1,ICM,-0.06287293159541893,,
EVALUATION_1,ICM-Norm,0.46704405557622025,,
EVALUATION_1,F1,0.6002370645227788,0.6485260770975058,0.551948051948052
EVALUATION_1,Pr,0.551089084679393,0.6299559471365639,0.4722222222222222
EVALUATION_1,Re,0.6661433995327103,0.6682242990654206,0.6640625
EVALUATION_2,ICM,0.06614776199654693,,
EVALUATION_2,ICM-Norm,0.5347020705699717,,
EVALUATION_2,F1,0.6375128998968007,0.696078431372549,0.5789473684210525
EVALUATION_2,Pr,0.599184058883347,0.7357512953367875,0.46261682242990654
EVALUATION_2,Re,0.7169513081395349,0.6604651162790698,0.7734375
EVALUATION_3,ICM,-0.07832537950945448,,
EVALUATION_3,ICM-Norm,0.4589093755386796,,
EVALUATION_3,F1,0.5952211204009765,0.6378896882494005,0.5525525525525525
EVALUATION_3,Pr,0.5535981646945183,0.6584158415841584,0.44878048780487806
EVALUATION_3,Re,0.6686773255813954,0.6186046511627907,0.71875
EVALUATION_4,ICM,-0.07763175456017324,,
EVALUATION_4,ICM-Norm,0.45927326119727996,,
EVALUATION_4,F1,0.5873509799959588,0.693069306930693,0.48163265306122444
EVALUATION_4,Pr,0.5538608900677866,0.603448275862069,0.5042735042735043
EVALUATION_4,Re,0.6374454941860466,0.813953488372093,0.4609375
EVALUATION_5,ICM,-0.03263795565308655,,
EVALUATION_5,ICM-Norm,0.4828676227989957,,
EVALUATION_5,F1,0.6039264054300348,0.6983471074380164,0.5095057034220531
EVALUATION_5,Pr,0.5592864923747276,0.6259259259259259,0.49264705882352944
EVALUATION_5,Re,0.6586393406431672,0.7897196261682243,0.5275590551181102
average,F1,0.60484969404931,0.6747821222176329,0.5349172658809869
average,ICM,-0.03706405186431726,,
average,ICM-Norm,0.4805592771362295,,
average,Pr,0.5634037381399545,0.6506994571691009,0.47610801911080813
average,Re,0.6695713736165708,0.7101934362095197,0.6289493110236221
