evaluation,metric,average
EVALUATION_1,ICM-Soft,-0.8311370003442436
EVALUATION_1,ICM-Soft-Norm,0.36956043776321185
EVALUATION_1,CE,0.9429710719545923
EVALUATION_2,ICM-Soft,-0.5268439538861431
EVALUATION_2,ICM-Soft-Norm,0.41726867136006895
EVALUATION_2,CE,0.945355138298762
EVALUATION_3,ICM-Soft,-0.8157234501074279
EVALUATION_3,ICM-Soft-Norm,0.37190536337687485
EVALUATION_3,CE,0.9609152719837121
EVALUATION_4,ICM-Soft,-0.6084432105118198
EVALUATION_4,ICM-Soft-Norm,0.4044549817146301
EVALUATION_4,CE,0.9379612734000875
EVALUATION_5,ICM-Soft,-0.7004277852243421
EVALUATION_5,ICM-Soft-Norm,0.390093112453754
EVALUATION_5,CE,0.9412569267128845
average,CE,0.9456919364700077
average,ICM-Soft,-0.6965150800147952
average,ICM-Soft-Norm,0.390656513333708
