F1_train,F1_val,MCC_train,MCC_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.1845126748085022,,0.0,,0.1288377046585083,,0.35087719559669495,0,39,,1.0502084493637085
0.2807583510875702,,0.01607462950050831,,0.27454662322998047,,0.3721065819263458,,0,39,1.0415648221969604,
,0.37452250719070435,,0.27540212869644165,,0.43845322728157043,,0.45788779854774475,1,79,,1.0087047815322876
0.2795315682888031,,0.04602430388331413,,0.26507556438446045,,0.39000892639160156,,1,79,1.0113273859024048,
,0.36750367283821106,,0.2909345030784607,,0.4491339325904846,,0.45529797673225403,2,119,,0.9997744560241699
0.37227746844291687,,0.16068263351917267,,0.38652047514915466,,0.4484039545059204,,2,119,0.9466507434844971,
,0.2977077066898346,,0.2158730924129486,,0.4470168650150299,,0.41199183464050293,3,159,,1.0697654485702515
0.4820365309715271,,0.3605290949344635,,0.4890408515930176,,0.5548861026763916,,3,159,0.8444059491157532,
,0.4127979576587677,,0.304790735244751,,0.4382641315460205,,0.4751322865486145,4,199,,0.9633511900901794
0.47453364729881287,,0.34405001997947693,,0.47524866461753845,,0.5427869558334351,,4,199,0.789596438407898,
,0.4296613931655884,,0.2855707108974457,,0.41927284002304077,,0.47411587834358215,5,239,,1.005761742591858
0.5633587837219238,,0.5060654878616333,,0.5596721172332764,,0.6275115609169006,,5,239,0.648611307144165,
,0.4364026188850403,,0.3139791488647461,,0.42434626817703247,,0.484276682138443,6,279,,1.4039901494979858
0.6227629780769348,,0.6107565760612488,,0.6093394160270691,,0.6773518919944763,,6,279,0.5005133152008057,
,0.4925607740879059,,0.3516569435596466,,0.49244046211242676,,0.53155118227005,7,319,,1.2823915481567383
0.707840621471405,,0.6972473859786987,,0.7084790468215942,,0.7438289523124695,,7,319,0.3981943428516388,
,0.48400476574897766,,0.29755309224128723,,0.4926634728908539,,0.5146129727363586,8,359,,1.4676275253295898
0.8310655951499939,,0.8296265602111816,,0.8403316736221313,,0.8446440696716309,,8,359,0.23593956232070923,
,0.4127979576587677,,0.304790735244751,,0.4382641315460205,,0.4751322865486145,9,360,,0.9633511900901794
