evaluation,metric,average,JUDGEMENTAL,NO,DIRECT
EVALUATION_1,ICM,-1.0229746411140137,,,
EVALUATION_1,ICM-Norm,0.1512549796377274,,,
EVALUATION_1,F1,0.21270521056388295,0.0,0.6381156316916489,0.0
EVALUATION_1,Pr,0.46855345911949686,,0.46855345911949686,
EVALUATION_1,Re,0.3333333333333333,0.0,1.0,0.0
EVALUATION_2,ICM,-0.4385497052858394,,,
EVALUATION_2,ICM-Norm,0.3504928472779876,,,
EVALUATION_2,F1,0.44493639749806735,0.0,0.7254901960784315,0.6093189964157706
EVALUATION_2,Pr,0.6174783399928789,,0.7070063694267515,0.5279503105590062
EVALUATION_2,Re,0.4884351420012892,0.0,0.7449664429530202,0.7203389830508474
EVALUATION_3,ICM,-0.5435690547162548,,,
EVALUATION_3,ICM-Norm,0.31421659023390436,,,
EVALUATION_3,F1,0.4247563421413743,0.0,0.6804123711340206,0.5938566552901023
EVALUATION_3,Pr,0.5971629778672032,,0.6971830985915493,0.49714285714285716
EVALUATION_3,Re,0.4672392219315209,0.0,0.6644295302013423,0.7372881355932204
EVALUATION_4,ICM,-0.6689358476239645,,,
EVALUATION_4,ICM-Norm,0.27152858099471044,,,
EVALUATION_4,F1,0.39646378782726965,0.0,0.5882352941176471,0.6011560693641619
EVALUATION_4,Pr,0.6179637787567303,,0.7777777777777778,0.4581497797356828
EVALUATION_4,Re,0.44897418426830193,0.0,0.47297297297297297,0.8739495798319328
EVALUATION_5,ICM,-0.4419742214158153,,,
EVALUATION_5,ICM-Norm,0.3494453160704042,,,
EVALUATION_5,F1,0.4452758111745159,0.0,0.6988847583643122,0.6369426751592356
EVALUATION_5,Pr,0.6435317928824422,,0.7768595041322314,0.5102040816326531
EVALUATION_5,Re,0.49419758741792635,0.0,0.6351351351351351,0.847457627118644
average,F1,0.38482750984102204,0.0,0.666227650277212,0.48825487924585415
average,ICM,-0.6232006940311775,,,
average,ICM-Norm,0.28738766284294676,,,
average,Pr,0.5889380697237503,,0.6854760418095613,0.49836175726754983
average,Re,0.4464358937904743,0.0,0.703500816252494,0.6358068651189289
