evaluation,metric,average
EVALUATION_1,ICM-Soft,-2.4147775494872965
EVALUATION_1,ICM-Soft-Norm,0.24525001893330578
EVALUATION_1,CE,1.5110154268830016
EVALUATION_2,ICM-Soft,-1.4020766223652463
EVALUATION_2,ICM-Soft-Norm,0.35408217207628295
EVALUATION_2,CE,1.5048724133967188
EVALUATION_3,ICM-Soft,-1.5153414544534396
EVALUATION_3,ICM-Soft-Norm,0.34272886722377116
EVALUATION_3,CE,1.4718787067273966
EVALUATION_4,ICM-Soft,-1.5640902422339522
EVALUATION_4,ICM-Soft-Norm,0.33661433440806277
EVALUATION_4,CE,1.5517851851200086
EVALUATION_5,ICM-Soft,-1.3908459037865306
EVALUATION_5,ICM-Soft-Norm,0.3559476361236444
EVALUATION_5,CE,1.456811841325008
average,CE,1.4992727146904268
average,ICM-Soft,-1.657426354465293
average,ICM-Soft-Norm,0.3269246057530134
